PLC ,B1   ,201809160428,114,1001001009
PLC ,B1   ,201809160429,126,1001001009
PLC ,B1   ,201809160430,111,1001001009
PLC ,B1   ,201809160431,128,1001001009
PLC ,B1   ,201809160432,118,1001001009
PLC ,B1   ,201809160433,146,1001001009
PLC ,B1   ,201809160434,130,1001001009
PLC ,B1   ,201809160435,104,1001001009
PLC ,B1   ,201809160436,123,1001001009
PLC ,B1   ,201809160437,145,1001001009
PLC ,B1   ,201809160438,121,1001001009
PLC ,B1   ,201809160439,137,1001001009
PLC ,B1   ,201809160440,134,1001001009
PLC ,B1   ,201809160441,138,1001001009
PLC ,B1   ,201809160442,102,1001001009
PLC ,B1   ,201809160443,121,1001001009
PLC ,B1   ,201809160444,94,1001001009
PLC ,B1   ,201809160445,104,1001001009
PLC ,B1   ,201809160446,89,1001001009
PLC ,B1   ,201809160447,103,1001001009
PLC ,B1   ,201809160448,111,1001001009
PLC ,B1   ,201809160449,138,1001001009
PLC ,B1   ,201809160450,133,1001001009
PLC ,B1   ,201809160451,150,1001001009
PLC ,B1   ,201809160452,110,1001001009
PLC ,B1   ,201809160453,107,1001001009
PLC ,B1   ,201809160454,148,1001001009
PLC ,B1   ,201809160455,138,1001001009
PLC ,B1   ,201809160456,154,1001001009
PLC ,B1   ,201809160457,153,1001001009
PLC ,B1   ,201809160458,126,1001001009
PLC ,B1   ,201809160459,131,1001001009
PLC ,B1   ,201809160500,158,1001001009
PLC ,B1   ,201809160501,152,1001001009
PLC ,B1   ,201809160502,141,1001001009
PLC ,B1   ,201809160503,125,1001001009
PLC ,B1   ,201809160504,144,1001001009
PLC ,B1   ,201809160505,121,1001001009
PLC ,B1   ,201809160506,138,1001001009
PLC ,B1   ,201809160507,145,1001001009
PLC ,B1   ,201809160508,148,1001001009
PLC ,B1   ,201809160509,123,1001001009
PLC ,B1   ,201809160510,181,1001001009
PLC ,B1   ,201809160511,155,1001001009
PLC ,B1   ,201809160512,127,1001001009
PLC ,B1   ,201809160513,150,1001001009
PLC ,B1   ,201809160514,152,1001001009
PLC ,B1   ,201809160515,153,1001001009
PLC ,B1   ,201809160516,147,1001001009
PLC ,B1   ,201809160517,146,1001001009
PLC ,B1   ,201809160518,150,1001001009
PLC ,B1   ,201809160519,136,1001001009
PLC ,B1   ,201809160520,165,1001001009
PLC ,B1   ,201809160521,163,1001001009
PLC ,B1   ,201809160522,174,1001001009
PLC ,B1   ,201809160523,149,1001001009
PLC ,B1   ,201809160524,99,1001001009
PLC ,B1   ,201809160525,137,1001001009
PLC ,B1   ,201809160526,110,1001001009
PLC ,B1   ,201809160527,116,1001001009
PLC ,B1   ,201809160528,124,1001001009
PLC ,B1   ,201809160529,137,1001001009
PLC ,B1   ,201809160530,87,1001001009
PLC ,B1   ,201809160531,86,1001001009
PLC ,B1   ,201809160532,107,1001001009
PLC ,B1   ,201809160533,113,1001001009
PLC ,B1   ,201809160534,91,1001001009
PLC ,B1   ,201809160535,103,1001001009
