TME ,B1   ,201809160906,188,1001001009
TME ,B1   ,201809160907,181,1001001009
TME ,B1   ,201809160908,167,1001001009
TME ,B1   ,201809160909,200,1001001009
TME ,B1   ,201809160910,200,1001001009
TME ,B1   ,201809160911,221,1001001009
TME ,B1   ,201809160912,148,1001001009
TME ,B1   ,201809160913,194,1001001009
TME ,B1   ,201809160914,188,1001001009
TME ,B1   ,201809160915,183,1001001009
TME ,B1   ,201809160916,162,1001001009
TME ,B1   ,201809160917,170,1001001009
TME ,B1   ,201809160918,175,1001001009
TME ,B1   ,201809160919,199,1001001009
TME ,B1   ,201809160920,195,1001001009
TME ,B1   ,201809160921,212,1001001009
TME ,B1   ,201809160922,185,1001001009
TME ,B1   ,201809160923,182,1001001009
TME ,B1   ,201809160924,168,1001001009
TME ,B1   ,201809160925,217,1001001009
TME ,B1   ,201809160926,220,1001001009
TME ,B1   ,201809160927,200,1001001009
TME ,B1   ,201809160928,208,1001001009
TME ,B1   ,201809160929,206,1001001009
TME ,B1   ,201809160930,183,1001001009
TME ,B1   ,201809160931,194,1001001009
TME ,B1   ,201809160932,181,1001001009
TME ,B1   ,201809160933,165,1001001009
TME ,B1   ,201809160934,180,1001001009
TME ,B1   ,201809160935,182,1001001009
TME ,B1   ,201809160936,195,1001001009
TME ,B1   ,201809160937,177,1001001009
TME ,B1   ,201809160938,200,1001001009
TME ,B1   ,201809160939,193,1001001009
TME ,B1   ,201809160940,209,1001001009
TME ,B1   ,201809160941,207,1001001009
TME ,B1   ,201809160942,171,1001001009
TME ,B1   ,201809160943,167,1001001009
TME ,B1   ,201809160944,180,1001001009
TME ,B1   ,201809160945,189,1001001009
TME ,B1   ,201809160946,197,1001001009
TME ,B1   ,201809160947,227,1001001009
TME ,B1   ,201809160948,240,1001001009
TME ,B1   ,201809160949,242,1001001009
TME ,B1   ,201809160950,238,1001001009
TME ,B1   ,201809160951,199,1001001009
TME ,B1   ,201809160952,206,1001001009
TME ,B1   ,201809160953,216,1001001009
TME ,B1   ,201809160954,238,1001001009
TME ,B1   ,201809160955,241,1001001009
TME ,B1   ,201809160956,215,1001001009
TME ,B1   ,201809160957,231,1001001009
TME ,B1   ,201809160958,228,1001001009
TME ,B1   ,201809160959,214,1001001009
TME ,B1   ,201809161000,243,1001003409
TME ,B1   ,201809161001,234,1001003409
TME ,B1   ,201809161002,3,1001003409
TME ,B1   ,201809161003,2,1001003409
TME ,B1   ,201809161004,3,1001003409
TME ,B1   ,201809161005,4,1001003409
TME ,B1   ,201809161006,2,1001003409
TME ,B1   ,201809161007,2,1001003409
TME ,B1   ,201809161008,1,1001003409
TME ,B1   ,201809161009,1,1001003409
TME ,B1   ,201809161010,1,1001003409
TME ,B1   ,201809161011,1,1001003409
TME ,B1   ,201809161012,1,1001003409
TME ,B1   ,201809161013,1,1001003409
TME ,B1   ,201809161014,1,1001003409
TME ,B1   ,201809161015,1,1001003409
TME ,B1   ,201809161016,2,1001003409
TME ,B1   ,201809161017,20,1001003409
TME ,B1   ,201809161018,31,1001003409
TME ,B1   ,201809161019,38,1001003409
TME ,B1   ,201809161020,25,1001003409
TME ,B1   ,201809161021,33,1001003409
TME ,B1   ,201809161022,26,1001003409
TME ,B1   ,201809161023,27,1001003409
TME ,B1   ,201809161024,32,1001003409
TME ,B1   ,201809161025,22,1001003409
TME ,B1   ,201809161026,24,1001003409
TME ,B1   ,201809161027,27,1001003409
TME ,B1   ,201809161028,20,1001003409
TME ,B1   ,201809161029,23,1001003409
