JKB ,B1   ,201809160451,37,1001001009
JKB ,B1   ,201809160452,38,1001001009
JKB ,B1   ,201809160453,39,1001001009
JKB ,B1   ,201809160454,46,1001001009
JKB ,B1   ,201809160455,62,1001001009
JKB ,B1   ,201809160456,46,1001001009
JKB ,B1   ,201809160457,95,1001001009
JKB ,B1   ,201809160458,54,1001001009
JKB ,B1   ,201809160459,46,1001001009
JKB ,B1   ,201809160500,61,1001001009
JKB ,B1   ,201809160501,20,1001001009
JKB ,B1   ,201809160502,29,1001001009
JKB ,B1   ,201809160503,84,1001001009
JKB ,B1   ,201809160504,53,1001001009
JKB ,B1   ,201809160505,29,1001001009
JKB ,B1   ,201809160506,102,1001001009
JKB ,B1   ,201809160507,42,1001001009
JKB ,B1   ,201809160508,87,1001001009
JKB ,B1   ,201809160509,44,1001001009
JKB ,B1   ,201809160510,27,1001001009
JKB ,B1   ,201809160511,15,1001001009
JKB ,B1   ,201809160512,20,1001001009
JKB ,B1   ,201809160513,35,1001001009
JKB ,B1   ,201809160514,23,1001001009
JKB ,B1   ,201809160515,50,1001001009
JKB ,B1   ,201809160516,51,1001001009
JKB ,B1   ,201809160517,62,1001001009
JKB ,B1   ,201809160518,35,1001001009
JKB ,B1   ,201809160519,22,1001001009
JKB ,B1   ,201809160520,38,1001001009
JKB ,B1   ,201809160521,39,1001001009
JKB ,B1   ,201809160522,39,1001001009
JKB ,B1   ,201809160523,25,1001001009
JKB ,B1   ,201809160524,39,1001001009
JKB ,B1   ,201809160525,10,1001001009
JKB ,B1   ,201809160526,22,1001001009
JKB ,B1   ,201809160527,34,1001001009
JKB ,B1   ,201809160528,37,1001001009
JKB ,B1   ,201809160529,20,1001001009
JKB ,B1   ,201809160530,41,1001001009
JKB ,B1   ,201809160531,48,1001001009
JKB ,B1   ,201809160532,74,1001001009
JKB ,B1   ,201809160533,49,1001001009
JKB ,B1   ,201809160534,76,1001001009
JKB ,B1   ,201809160535,73,1001001009
JKB ,B1   ,201809160536,57,1001001009
JKB ,B1   ,201809160537,68,1001001009
JKB ,B1   ,201809160538,58,1001001009
JKB ,B1   ,201809160539,53,1001001009
JKB ,B1   ,201809160540,77,1001001009
JKB ,B1   ,201809160541,66,1001001009
JKB ,B1   ,201809160542,55,1001001009
JKB ,B1   ,201809160543,43,1001001009
JKB ,B1   ,201809160544,53,1001001009
JKB ,B1   ,201809160545,48,1001001009
JKB ,B1   ,201809160546,48,1001001009
JKB ,B1   ,201809160547,59,1001001009
JKB ,B1   ,201809160548,51,1001001009
JKB ,B1   ,201809160549,46,1001001009
JKB ,B1   ,201809160550,46,1001001009
JKB ,B1   ,201809160551,54,1001001009
JKB ,B1   ,201809160552,63,1001001009
JKB ,B1   ,201809160553,48,1001001009
JKB ,B1   ,201809160554,43,1001001009
JKB ,B1   ,201809160555,59,1001001009
JKB ,B1   ,201809160556,78,1001001009
JKB ,B1   ,201809160557,53,1001001009
JKB ,B1   ,201809160558,71,1001001009
JKB ,B1   ,201809160559,65,1001001009
JKB ,B1   ,201809160600,53,1001001009
JKB ,B1   ,201809160601,38,1001001009
JKB ,B1   ,201809160602,79,1001001009
JKB ,B1   ,201809160603,52,1001001009
JKB ,B1   ,201809160604,77,1001001009
JKB ,B1   ,201809160605,78,1001001009
JKB ,B1   ,201809160606,72,1001001009
JKB ,B1   ,201809160607,51,1001001009
JKB ,B1   ,201809160608,49,1001001009
JKB ,B1   ,201809160609,39,1001001009
JKB ,B1   ,201809160610,44,1001001009
JKB ,B1   ,201809160611,51,1001001009
JKB ,B1   ,201809160612,49,1001001009
JKB ,B1   ,201809160613,62,1001001009
JKB ,B1   ,201809160614,23,1001001009
JKB ,B1   ,201809160615,35,1001001009
JKB ,B1   ,201809160616,31,1001001009
JKB ,B1   ,201809160617,33,1001001009
JKB ,B1   ,201809160618,89,1001001009
JKB ,B1   ,201809160619,54,1001001009
JKB ,B1   ,201809160620,61,1001001009
JKB ,B1   ,201809160621,71,1001001009
JKB ,B1   ,201809160622,37,1001001009
JKB ,B1   ,201809160623,69,1001001009
JKB ,B1   ,201809160624,54,1001001009
JKB ,B1   ,201809160625,90,1001001009
JKB ,B1   ,201809160626,64,1001001009
JKB ,B1   ,201809160627,53,1001001009
JKB ,B1   ,201809160628,52,1001001009
JKB ,B1   ,201809160629,59,1001001009
JKB ,B1   ,201809160630,57,1001001009
JKB ,B1   ,201809160631,77,1001001009
JKB ,B1   ,201809160632,61,1001001009
JKB ,B1   ,201809160633,61,1001001009
JKB ,B1   ,201809160634,68,1001001009
JKB ,B1   ,201809160635,59,1001001009
JKB ,B1   ,201809160636,39,1001001009
JKB ,B1   ,201809160637,80,1001001009
JKB ,B1   ,201809160638,93,1001001009
JKB ,B1   ,201809160639,68,1001001009
JKB ,B1   ,201809160640,41,1001001009
JKB ,B1   ,201809160641,70,1001001009
JKB ,B1   ,201809160642,74,1001001009
JKB ,B1   ,201809160643,77,1001001009
JKB ,B1   ,201809160644,80,1001001009
JKB ,B1   ,201809160645,77,1001001009
JKB ,B1   ,201809160646,39,1001001009
JKB ,B1   ,201809160647,55,1001001009
JKB ,B1   ,201809160648,74,1001001009
JKB ,B1   ,201809160649,93,1001001009
JKB ,B1   ,201809160650,65,1001001009
JKB ,B1   ,201809160651,81,1001001009
JKB ,B1   ,201809160652,82,1001001009
JKB ,B1   ,201809160653,84,1001001009
JKB ,B1   ,201809160654,40,1001001009
JKB ,B1   ,201809160655,43,1001001009
JKB ,B1   ,201809160656,57,1001001009
JKB ,B1   ,201809160657,79,1001001009
JKB ,B1   ,201809160658,59,1001001009
JKB ,B1   ,201809160659,75,1001001009
JKB ,B1   ,201809160700,81,1001001009
JKB ,B1   ,201809160701,81,1001001009
JKB ,B1   ,201809160702,57,1001001009
JKB ,B1   ,201809160703,80,1001001009
JKB ,B1   ,201809160704,64,1001001009
JKB ,B1   ,201809160705,57,1001001009
JKB ,B1   ,201809160706,91,1001001009
JKB ,B1   ,201809160707,58,1001001009
JKB ,B1   ,201809160708,54,1001001009
JKB ,B1   ,201809160709,76,1001001009
JKB ,B1   ,201809160710,41,1001001009
JKB ,B1   ,201809160711,74,1001001009
JKB ,B1   ,201809160712,63,1001001009
JKB ,B1   ,201809160713,87,1001001009
JKB ,B1   ,201809160714,82,1001001009
JKB ,B1   ,201809160715,60,1001001009
JKB ,B1   ,201809160716,50,1001001009
JKB ,B1   ,201809160717,66,1001001009
JKB ,B1   ,201809160718,67,1001001009
JKB ,B1   ,201809160719,45,1001001009
JKB ,B1   ,201809160720,71,1001001009
JKB ,B1   ,201809160721,81,1001001009
JKB ,B1   ,201809160722,58,1001001009
JKB ,B1   ,201809160723,40,1001001009
JKB ,B1   ,201809160724,40,1001001009
JKB ,B1   ,201809160725,74,1001001009
JKB ,B1   ,201809160726,72,1001001009
JKB ,B1   ,201809160727,72,1001001009
JKB ,B1   ,201809160728,65,1001001009
JKB ,B1   ,201809160729,123,1001001009
JKB ,B1   ,201809160730,58,1001001009
JKB ,B1   ,201809160731,84,1001001009
JKB ,B1   ,201809160732,85,1001001009
JKB ,B1   ,201809160733,49,1001001009
JKB ,B1   ,201809160734,115,1001001009
JKB ,B1   ,201809160735,57,1001001009
JKB ,B1   ,201809160736,53,1001001009
JKB ,B1   ,201809160737,77,1001001009
JKB ,B1   ,201809160738,70,1001001009
JKB ,B1   ,201809160739,59,1001001009
JKB ,B1   ,201809160740,55,1001001009
JKB ,B1   ,201809160741,37,1001001009
JKB ,B1   ,201809160742,70,1001001009
JKB ,B1   ,201809160743,55,1001001009
JKB ,B1   ,201809160744,84,1001001009
JKB ,B1   ,201809160745,69,1001001009
JKB ,B1   ,201809160746,58,1001001009
JKB ,B1   ,201809160747,60,1001001009
JKB ,B1   ,201809160748,59,1001001009
JKB ,B1   ,201809160749,81,1001001009
JKB ,B1   ,201809160750,70,1001001009
JKB ,B1   ,201809160751,49,1001001009
JKB ,B1   ,201809160752,45,1001001009
JKB ,B1   ,201809160753,68,1001001009
JKB ,B1   ,201809160754,51,1001001009
JKB ,B1   ,201809160755,82,1001001009
JKB ,B1   ,201809160756,61,1001001009
JKB ,B1   ,201809160757,20,1001001009
JKB ,B1   ,201809160758,74,1001001009
JKB ,B1   ,201809160759,61,1001001009
JKB ,B1   ,201809160800,53,1001001009
JKB ,B1   ,201809160801,119,1001001009
JKB ,B1   ,201809160802,72,1001001009
JKB ,B1   ,201809160803,112,1001001009
JKB ,B1   ,201809160804,111,1001001009
JKB ,B1   ,201809160805,106,1001001009
JKB ,B1   ,201809160806,52,1001001009
JKB ,B1   ,201809160807,62,1001001009
JKB ,B1   ,201809160808,96,1001001009
JKB ,B1   ,201809160809,74,1001001009
JKB ,B1   ,201809160810,138,1001001009
JKB ,B1   ,201809160811,51,1001001009
JKB ,B1   ,201809160812,97,1001001009
JKB ,B1   ,201809160813,74,1001001009
JKB ,B1   ,201809160814,74,1001001009
JKB ,B1   ,201809160815,106,1001001009
JKB ,B1   ,201809160816,115,1001001009
JKB ,B1   ,201809160817,58,1001001009
JKB ,B1   ,201809160818,76,1001001009
JKB ,B1   ,201809160819,39,1001001009
JKB ,B1   ,201809160820,90,1001001009
JKB ,B1   ,201809160821,36,1001001009
JKB ,B1   ,201809160822,78,1001001009
JKB ,B1   ,201809160823,73,1001001009
JKB ,B1   ,201809160824,75,1001001009
JKB ,B1   ,201809160825,73,1001001009
JKB ,B1   ,201809160826,58,1001001009
JKB ,B1   ,201809160827,45,1001001009
JKB ,B1   ,201809160828,51,1001001009
JKB ,B1   ,201809160829,65,1001001009
JKB ,B1   ,201809160830,93,1001001009
JKB ,B1   ,201809160831,85,1001001009
JKB ,B1   ,201809160832,61,1001001009
JKB ,B1   ,201809160833,111,1001001009
JKB ,B1   ,201809160834,104,1001001009
JKB ,B1   ,201809160835,44,1001001009
JKB ,B1   ,201809160836,35,1001001009
JKB ,B1   ,201809160837,79,1001001009
JKB ,B1   ,201809160838,121,1001001009
JKB ,B1   ,201809160839,93,1001001009
JKB ,B1   ,201809160840,46,1001001009
JKB ,B1   ,201809160841,49,1001001009
JKB ,B1   ,201809160842,112,1001001009
JKB ,B1   ,201809160843,82,1001001009
JKB ,B1   ,201809160844,86,1001001009
JKB ,B1   ,201809160845,96,1001001009
JKB ,B1   ,201809160846,130,1001001009
JKB ,B1   ,201809160847,104,1001001009
JKB ,B1   ,201809160848,98,1001001009
JKB ,B1   ,201809160849,115,1001001009
JKB ,B1   ,201809160850,139,1001001009
JKB ,B1   ,201809160851,110,1001001009
JKB ,B1   ,201809160852,171,1001001009
JKB ,B1   ,201809160853,161,1001001009
JKB ,B1   ,201809160854,120,1001001009
JKB ,B1   ,201809160855,119,1001001009
JKB ,B1   ,201809160856,99,1001001009
JKB ,B1   ,201809160857,159,1001001009
JKB ,B1   ,201809160858,99,1001001009
JKB ,B1   ,201809160859,66,1001001009
JKB ,B1   ,201809160900,89,1001001009
JKB ,B1   ,201809160901,87,1001001009
JKB ,B1   ,201809160902,118,1001001009
JKB ,B1   ,201809160903,82,1001001009
JKB ,B1   ,201809160904,122,1001001009
JKB ,B1   ,201809160905,106,1001001009
JKB ,B1   ,201809160906,157,1001001009
JKB ,B1   ,201809160907,140,1001001009
JKB ,B1   ,201809160908,124,1001001009
JKB ,B1   ,201809160909,100,1001001009
JKB ,B1   ,201809160910,86,1001001009
JKB ,B1   ,201809160911,69,1001001009
JKB ,B1   ,201809160912,116,1001001009
JKB ,B1   ,201809160913,127,1001001009
JKB ,B1   ,201809160914,138,1001001009
JKB ,B1   ,201809160915,89,1001001009
JKB ,B1   ,201809160916,168,1001001009
JKB ,B1   ,201809160917,82,1001001009
JKB ,B1   ,201809160918,147,1001001009
JKB ,B1   ,201809160919,180,1001001009
JKB ,B1   ,201809160920,165,1001001009
JKB ,B1   ,201809160921,170,1001001009
JKB ,B1   ,201809160922,169,1001001009
JKB ,B1   ,201809160923,127,1001001009
JKB ,B1   ,201809160924,143,1001001009
JKB ,B1   ,201809160925,101,1001001009
JKB ,B1   ,201809160926,109,1001001009
JKB ,B1   ,201809160927,117,1001001009
JKB ,B1   ,201809160928,102,1001001009
JKB ,B1   ,201809160929,130,1001001009
JKB ,B1   ,201809160930,166,1001001009
JKB ,B1   ,201809160931,171,1001001009
JKB ,B1   ,201809160932,120,1001001009
JKB ,B1   ,201809160933,102,1001001009
JKB ,B1   ,201809160934,66,1001001009
JKB ,B1   ,201809160935,99,1001001009
JKB ,B1   ,201809160936,116,1001001009
JKB ,B1   ,201809160937,107,1001001009
JKB ,B1   ,201809160938,89,1001001009
JKB ,B1   ,201809160939,125,1001001009
JKB ,B1   ,201809160940,80,1001001009
JKB ,B1   ,201809160941,82,1001001009
JKB ,B1   ,201809160942,88,1001001009
JKB ,B1   ,201809160943,122,1001001009
JKB ,B1   ,201809160944,123,1001001009
JKB ,B1   ,201809160945,235,1001001009
JKB ,B1   ,201809160946,115,1001001009
JKB ,B1   ,201809160947,113,1001001009
JKB ,B1   ,201809160948,76,1001001009
JKB ,B1   ,201809160949,97,1001001009
JKB ,B1   ,201809160950,141,1001001009
JKB ,B1   ,201809160951,112,1001001009
JKB ,B1   ,201809160952,111,1001001009
JKB ,B1   ,201809160953,138,1001001009
JKB ,B1   ,201809160954,165,1001001009
JKB ,B1   ,201809160955,94,1001001009
JKB ,B1   ,201809160956,147,1001001009
JKB ,B1   ,201809160957,178,1001001009
JKB ,B1   ,201809160958,117,1001001009
JKB ,B1   ,201809160959,175,1001001009
JKB ,B1   ,201809161000,104,1001001009
JKB ,B1   ,201809161001,157,1001001009
JKB ,B1   ,201809161002,158,1001001009
JKB ,B1   ,201809161003,146,1001001009
JKB ,B1   ,201809161004,97,1001001009
JKB ,B1   ,201809161005,70,1001001009
JKB ,B1   ,201809161006,177,1001001009
JKB ,B1   ,201809161007,125,1001001009
JKB ,B1   ,201809161008,141,1001001009
JKB ,B1   ,201809161009,162,1001001009
JKB ,B1   ,201809161010,158,1001001009
JKB ,B1   ,201809161011,70,1001001009
JKB ,B1   ,201809161012,129,1001001009
JKB ,B1   ,201809161013,127,1001001009
JKB ,B1   ,201809161014,174,1001001009
JKB ,B1   ,201809161015,135,1001001009
JKB ,B1   ,201809161016,157,1001001009
JKB ,B1   ,201809161017,189,1001001009
JKB ,B1   ,201809161018,162,1001001009
JKB ,B1   ,201809161019,180,1001001009
JKB ,B1   ,201809161020,156,1001001009
JKB ,B1   ,201809161021,217,1001001009
JKB ,B1   ,201809161022,194,1001001009
JKB ,B1   ,201809161023,189,1001001009
JKB ,B1   ,201809161024,170,1001001009
JKB ,B1   ,201809161025,209,1001001009
JKB ,B1   ,201809161026,173,1001001009
JKB ,B1   ,201809161027,167,1001001009
JKB ,B1   ,201809161028,152,1001001009
JKB ,B1   ,201809161029,135,1001001009
JKB ,B1   ,201809161030,108,1001001009
JKB ,B1   ,201809161031,124,1001001009
JKB ,B1   ,201809161032,165,1001001009
JKB ,B1   ,201809161033,119,1001001009
JKB ,B1   ,201809161034,198,1001001009
JKB ,B1   ,201809161035,199,1001001009
