CP1 ,B1   ,201809160547,31,1001001009
CP1 ,B1   ,201809160548,26,1001001009
CP1 ,B1   ,201809160549,23,1001001009
CP1 ,B1   ,201809160550,9,1001001009
CP1 ,B1   ,201809160551,22,1001001009
CP1 ,B1   ,201809160552,31,1001001009
CP1 ,B1   ,201809160553,56,1001001009
CP1 ,B1   ,201809160554,40,1001001009
CP1 ,B1   ,201809160555,66,1001001009
CP1 ,B1   ,201809160556,26,1001001009
CP1 ,B1   ,201809160557,44,1001001009
CP1 ,B1   ,201809160558,89,1001001009
CP1 ,B1   ,201809160559,115,1001001009
CP1 ,B1   ,201809160600,81,1001001009
CP1 ,B1   ,201809160601,49,1001001009
CP1 ,B1   ,201809160602,53,1001001009
CP1 ,B1   ,201809160603,79,1001001009
CP1 ,B1   ,201809160604,95,1001001009
CP1 ,B1   ,201809160605,94,1001001009
CP1 ,B1   ,201809160606,63,1001001009
CP1 ,B1   ,201809160607,111,1001001009
CP1 ,B1   ,201809160608,40,1001001009
CP1 ,B1   ,201809160609,41,1001001009
CP1 ,B1   ,201809160610,40,1001001009
CP1 ,B1   ,201809160611,42,1001001009
CP1 ,B1   ,201809160612,65,1001001009
CP1 ,B1   ,201809160613,52,1001001009
CP1 ,B1   ,201809160614,102,1001001009
CP1 ,B1   ,201809160615,78,1001001009
CP1 ,B1   ,201809160616,67,1001001009
CP1 ,B1   ,201809160617,69,1001001009
CP1 ,B1   ,201809160618,45,1001001009
CP1 ,B1   ,201809160619,75,1001001009
CP1 ,B1   ,201809160620,60,1001001009
CP1 ,B1   ,201809160621,42,1001001009
CP1 ,B1   ,201809160622,70,1001001009
CP1 ,B1   ,201809160623,55,1001001009
CP1 ,B1   ,201809160624,77,1001001009
CP1 ,B1   ,201809160625,56,1001001009
CP1 ,B1   ,201809160626,118,1001001009
CP1 ,B1   ,201809160627,98,1001001009
CP1 ,B1   ,201809160628,78,1001001009
CP1 ,B1   ,201809160629,117,1001001009
CP1 ,B1   ,201809160630,109,1001001009
CP1 ,B1   ,201809160631,59,1001001009
CP1 ,B1   ,201809160632,90,1001001009
CP1 ,B1   ,201809160633,86,1001001009
CP1 ,B1   ,201809160634,64,1001001009
CP1 ,B1   ,201809160635,60,1001001009
