CCH ,J1   ,201809160517,266,1101001009
CCH ,J1   ,201809160518,264,1101001009
CCH ,J1   ,201809160519,263,1101001009
CCH ,J1   ,201809160520,262,1101001009
CCH ,J1   ,201809160521,261,1101001009
CCH ,J1   ,201809160522,260,1101001009
CCH ,J1   ,201809160523,259,1101001009
CCH ,J1   ,201809160524,258,1101001009
CCH ,J1   ,201809160525,257,1101001009
CCH ,J1   ,201809160526,257,1101001009
CCH ,J1   ,201809160527,256,1101001009
CCH ,J1   ,201809160528,255,1101001009
CCH ,J1   ,201809160529,253,1101001009
CCH ,J1   ,201809160530,251,1101001009
CCH ,J1   ,201809160531,250,1101001009
CCH ,J1   ,201809160532,249,1101001009
CCH ,J1   ,201809160533,248,1101001009
CCH ,J1   ,201809160534,247,1101001009
CCH ,J1   ,201809160535,246,1101001009
CCH ,J1   ,201809160536,246,1101001009
CCH ,J1   ,201809160537,245,1101001009
CCH ,J1   ,201809160538,245,1101001009
CCH ,J1   ,201809160539,244,1101001009
CCH ,J1   ,201809160540,244,1101001009
CCH ,J1   ,201809160541,243,1101001009
CCH ,J1   ,201809160542,243,1101001009
CCH ,J1   ,201809160543,243,1101001009
CCH ,J1   ,201809160544,242,1101001009
CCH ,J1   ,201809160545,242,1101001009
CCH ,J1   ,201809160546,242,1101001009
CCH ,J1   ,201809160547,242,1101001009
CCH ,J1   ,201809160548,242,1101001009
CCH ,J1   ,201809160549,242,1101001009
CCH ,J1   ,201809160550,242,1101001009
CCH ,J1   ,201809160551,242,1101001009
CCH ,J1   ,201809160552,241,1101001009
CCH ,J1   ,201809160553,241,1101001009
CCH ,J1   ,201809160554,241,1101001009
CCH ,J1   ,201809160555,241,1101001009
CCH ,J1   ,201809160556,241,1101001009
CCH ,J1   ,201809160557,241,1101001009
CCH ,J1   ,201809160558,240,1101001009
CCH ,J1   ,201809160559,240,1101001009
CCH ,J1   ,201809160600,240,1101001009
CCH ,J1   ,201809160601,240,1101001009
CCH ,J1   ,201809160602,240,1101001009
CCH ,J1   ,201809160603,240,1101001009
CCH ,J1   ,201809160604,240,1101001009
CCH ,J1   ,201809160605,240,1101001009
CCH ,J1   ,201809160606,240,1101001009
CCH ,J1   ,201809160607,240,1101001009
CCH ,J1   ,201809160608,240,1101001009
CCH ,J1   ,201809160609,240,1101001009
CCH ,J1   ,201809160610,240,1101001009
CCH ,J1   ,201809160611,240,1101001009
CCH ,J1   ,201809160612,240,1101001009
CCH ,J1   ,201809160613,241,1101001009
CCH ,J1   ,201809160614,241,1101001009
CCH ,J1   ,201809160615,241,1101001009
CCH ,J1   ,201809160616,241,1101001009
CCH ,J1   ,201809160617,241,1101001009
CCH ,J1   ,201809160618,241,1101001009
CCH ,J1   ,201809160619,240,1101001009
CCH ,J1   ,201809160620,240,1101001009
CCH ,J1   ,201809160621,241,1101001009
CCH ,J1   ,201809160622,241,1101001009
CCH ,J1   ,201809160623,241,1101001009
CCH ,J1   ,201809160624,241,1101001009
CCH ,J1   ,201809160625,241,1101001009
CCH ,J1   ,201809160626,241,1101001009
CCH ,J1   ,201809160627,241,1101001009
CCH ,J1   ,201809160628,241,1101001009
CCH ,J1   ,201809160629,241,1101001009
CCH ,J1   ,201809160630,241,1101001009
CCH ,J1   ,201809160631,241,1101001009
CCH ,J1   ,201809160632,241,1101001009
CCH ,J1   ,201809160633,242,1101001009
CCH ,J1   ,201809160634,241,1101001009
CCH ,J1   ,201809160635,241,1101001009
CCH ,J1   ,201809160636,241,1101001009
CCH ,J1   ,201809160637,241,1101001009
CCH ,J1   ,201809160638,241,1101001009
CCH ,J1   ,201809160639,241,1101001009
CCH ,J1   ,201809160640,241,1101001009
CCH ,J1   ,201809160641,241,1101001009
CCH ,J1   ,201809160642,241,1101001009
CCH ,J1   ,201809160643,241,1101001009
CCH ,J1   ,201809160644,241,1101001009
CCH ,J1   ,201809160645,241,1101001009
CCH ,J1   ,201809160646,241,1101001009
CCH ,J1   ,201809160647,242,1101001009
CCH ,J1   ,201809160648,242,1101001009
CCH ,J1   ,201809160649,242,1101001009
CCH ,J1   ,201809160650,242,1101001009
CCH ,J1   ,201809160651,242,1101001009
CCH ,J1   ,201809160652,242,1101001009
CCH ,J1   ,201809160653,242,1101001009
CCH ,J1   ,201809160654,242,1101001009
CCH ,J1   ,201809160655,242,1101001009
CCH ,J1   ,201809160656,241,1101001009
