CWB ,B1   ,201809160450,,
CWB ,B1   ,201809160451,,
CWB ,B1   ,201809160452,161,1001001009
CWB ,B1   ,201809160453,,
CWB ,B1   ,201809160454,162,1001001009
CWB ,B1   ,201809160455,,
CWB ,B1   ,201809160456,,
CWB ,B1   ,201809160457,142,1001001009
CWB ,B1   ,201809160458,104,1001001009
CWB ,B1   ,201809160459,104,1001001009
CWB ,B1   ,201809160500,123,1001001009
CWB ,B1   ,201809160501,119,1001001009
CWB ,B1   ,201809160502,117,1001001009
CWB ,B1   ,201809160503,111,1001001009
CWB ,B1   ,201809160504,184,1001001009
CWB ,B1   ,201809160505,181,1001001009
CWB ,B1   ,201809160506,203,1001001009
CWB ,B1   ,201809160507,158,1001001009
CWB ,B1   ,201809160508,202,1001001009
CWB ,B1   ,201809160509,159,1001001009
CWB ,B1   ,201809160510,179,1001001009
CWB ,B1   ,201809160511,192,1001001009
CWB ,B1   ,201809160512,207,1001001009
CWB ,B1   ,201809160513,174,1001001009
CWB ,B1   ,201809160514,174,1001001009
CWB ,B1   ,201809160515,168,1001001009
CWB ,B1   ,201809160516,182,1001001009
CWB ,B1   ,201809160517,188,1001001009
CWB ,B1   ,201809160518,189,1001001009
CWB ,B1   ,201809160519,157,1001001009
CWB ,B1   ,201809160520,,
CWB ,B1   ,201809160521,126,1001001009
CWB ,B1   ,201809160522,,
CWB ,B1   ,201809160523,125,1001001009
CWB ,B1   ,201809160524,162,1001001009
CWB ,B1   ,201809160525,170,1001001009
CWB ,B1   ,201809160526,194,1001001009
CWB ,B1   ,201809160527,172,1001001009
CWB ,B1   ,201809160528,153,1001001009
CWB ,B1   ,201809160529,177,1001001009
CWB ,B1   ,201809160530,164,1001001009
CWB ,B1   ,201809160531,163,1001001009
CWB ,B1   ,201809160532,187,1001001009
CWB ,B1   ,201809160533,177,1001001009
CWB ,B1   ,201809160534,180,1001001009
CWB ,B1   ,201809160535,200,1001001009
CWB ,B1   ,201809160536,194,1001001009
CWB ,B1   ,201809160537,,
CWB ,B1   ,201809160538,,
CWB ,B1   ,201809160539,,
CWB ,B1   ,201809160540,,
CWB ,B1   ,201809160541,,
CWB ,B1   ,201809160542,148,1001001009
CWB ,B1   ,201809160543,127,1001001009
CWB ,B1   ,201809160544,162,1001001009
CWB ,B1   ,201809160545,147,1001001009
CWB ,B1   ,201809160546,183,1001001009
CWB ,B1   ,201809160547,94,1001001009
CWB ,B1   ,201809160548,120,1001001009
CWB ,B1   ,201809160549,134,1001001009
CWB ,B1   ,201809160550,111,1001001009
CWB ,B1   ,201809160551,133,1001001009
CWB ,B1   ,201809160552,124,1001001009
CWB ,B1   ,201809160553,100,1001001009
CWB ,B1   ,201809160554,160,1001001009
CWB ,B1   ,201809160555,137,1001001009
CWB ,B1   ,201809160556,117,1001001009
CWB ,B1   ,201809160557,179,1001001009
CWB ,B1   ,201809160558,138,1001001009
CWB ,B1   ,201809160559,142,1001001009
CWB ,B1   ,201809160600,170,1001001009
CWB ,B1   ,201809160601,148,1001001009
CWB ,B1   ,201809160602,178,1001001009
CWB ,B1   ,201809160603,179,1001001009
CWB ,B1   ,201809160604,201,1001001009
CWB ,B1   ,201809160605,163,1001001009
CWB ,B1   ,201809160606,146,1001001009
CWB ,B1   ,201809160607,183,1001001009
CWB ,B1   ,201809160608,127,1001001009
CWB ,B1   ,201809160609,154,1001001009
CWB ,B1   ,201809160610,173,1001001009
CWB ,B1   ,201809160611,148,1001001009
CWB ,B1   ,201809160612,152,1001001009
CWB ,B1   ,201809160613,157,1001001009
CWB ,B1   ,201809160614,128,1001001009
CWB ,B1   ,201809160615,195,1001001009
CWB ,B1   ,201809160616,225,1001001009
CWB ,B1   ,201809160617,223,1001001009
CWB ,B1   ,201809160618,254,1001001009
CWB ,B1   ,201809160619,200,1001001009
CWB ,B1   ,201809160620,155,1001001009
CWB ,B1   ,201809160621,209,1001001009
CWB ,B1   ,201809160622,167,1001001009
CWB ,B1   ,201809160623,167,1001001009
CWB ,B1   ,201809160624,157,1001001009
CWB ,B1   ,201809160625,161,1001001009
CWB ,B1   ,201809160626,129,1001001009
CWB ,B1   ,201809160627,137,1001001009
CWB ,B1   ,201809160628,167,1001001009
CWB ,B1   ,201809160629,196,1001001009
CWB ,B1   ,201809160630,188,1001001009
CWB ,B1   ,201809160631,138,1001001009
CWB ,B1   ,201809160632,225,1001001009
CWB ,B1   ,201809160633,190,1001001009
CWB ,B1   ,201809160634,132,1001001009
CWB ,B1   ,201809160635,163,1001001009
CWB ,B1   ,201809160636,219,1001001009
CWB ,B1   ,201809160637,177,1001001009
CWB ,B1   ,201809160638,,
CWB ,B1   ,201809160639,,
CWB ,B1   ,201809160640,,
CWB ,B1   ,201809160641,,
CWB ,B1   ,201809160642,,
CWB ,B1   ,201809160643,154,1001001009
CWB ,B1   ,201809160644,186,1001001009
CWB ,B1   ,201809160645,177,1001001009
CWB ,B1   ,201809160646,186,1001001009
CWB ,B1   ,201809160647,164,1001001009
CWB ,B1   ,201809160648,177,1001001009
CWB ,B1   ,201809160649,195,1001001009
CWB ,B1   ,201809160650,143,1001001009
CWB ,B1   ,201809160651,184,1001001009
CWB ,B1   ,201809160652,167,1001001009
CWB ,B1   ,201809160653,148,1001001009
CWB ,B1   ,201809160654,181,1001001009
CWB ,B1   ,201809160655,167,1001001009
CWB ,B1   ,201809160656,152,1001001009
CWB ,B1   ,201809160657,209,1001001009
CWB ,B1   ,201809160658,162,1001001009
CWB ,B1   ,201809160659,167,1001001009
CWB ,B1   ,201809160700,149,1001001009
CWB ,B1   ,201809160701,173,1001001009
CWB ,B1   ,201809160702,136,1001001009
CWB ,B1   ,201809160703,147,1001001009
CWB ,B1   ,201809160704,193,1001001009
CWB ,B1   ,201809160705,161,1001001009
CWB ,B1   ,201809160706,178,1001001009
CWB ,B1   ,201809160707,140,1001001009
CWB ,B1   ,201809160708,149,1001001009
CWB ,B1   ,201809160709,216,1001001009
CWB ,B1   ,201809160710,252,1001001009
CWB ,B1   ,201809160711,225,1001001009
CWB ,B1   ,201809160712,212,1001001009
CWB ,B1   ,201809160713,203,1001001009
CWB ,B1   ,201809160714,169,1001001009
CWB ,B1   ,201809160715,164,1001001009
CWB ,B1   ,201809160716,172,1001001009
