NP  ,B1   ,201809160438,80,1001001009
NP  ,B1   ,201809160439,117,1001001009
NP  ,B1   ,201809160440,93,1001001009
NP  ,B1   ,201809160441,111,1001001009
NP  ,B1   ,201809160442,99,1001001009
NP  ,B1   ,201809160443,86,1001001009
NP  ,B1   ,201809160444,72,1001001009
NP  ,B1   ,201809160445,59,1001001009
NP  ,B1   ,201809160446,64,1001001009
NP  ,B1   ,201809160447,108,1001001009
NP  ,B1   ,201809160448,100,1001001009
NP  ,B1   ,201809160449,78,1001001009
NP  ,B1   ,201809160450,62,1001001009
NP  ,B1   ,201809160451,69,1001001009
NP  ,B1   ,201809160452,88,1001001009
NP  ,B1   ,201809160453,95,1001001009
NP  ,B1   ,201809160454,126,1001001009
NP  ,B1   ,201809160455,122,1001001009
NP  ,B1   ,201809160456,98,1001001009
NP  ,B1   ,201809160457,83,1001001009
NP  ,B1   ,201809160458,95,1001001009
NP  ,B1   ,201809160459,102,1001001009
NP  ,B1   ,201809160500,118,1001001009
NP  ,B1   ,201809160501,118,1001001009
NP  ,B1   ,201809160502,105,1001001009
NP  ,B1   ,201809160503,115,1001001009
NP  ,B1   ,201809160504,111,1001001009
NP  ,B1   ,201809160505,95,1001001009
NP  ,B1   ,201809160506,97,1001001009
NP  ,B1   ,201809160507,105,1001001009
NP  ,B1   ,201809160508,88,1001001009
NP  ,B1   ,201809160509,59,1001001009
NP  ,B1   ,201809160510,65,1001001009
NP  ,B1   ,201809160511,59,1001001009
NP  ,B1   ,201809160512,63,1001001009
NP  ,B1   ,201809160513,91,1001001009
NP  ,B1   ,201809160514,102,1001001009
NP  ,B1   ,201809160515,87,1001001009
NP  ,B1   ,201809160516,82,1001001009
NP  ,B1   ,201809160517,90,1001001009
NP  ,B1   ,201809160518,139,1001001009
NP  ,B1   ,201809160519,75,1001001009
NP  ,B1   ,201809160520,97,1001001009
NP  ,B1   ,201809160521,109,1001001009
NP  ,B1   ,201809160522,97,1001001009
NP  ,B1   ,201809160523,94,1001001009
NP  ,B1   ,201809160524,84,1001001009
NP  ,B1   ,201809160525,63,1001001009
NP  ,B1   ,201809160526,58,1001001009
NP  ,B1   ,201809160527,65,1001001009
NP  ,B1   ,201809160528,66,1001001009
NP  ,B1   ,201809160529,66,1001001009
NP  ,B1   ,201809160530,59,1001001009
NP  ,B1   ,201809160531,66,1001001009
NP  ,B1   ,201809160532,79,1001001009
NP  ,B1   ,201809160533,99,1001001009
NP  ,B1   ,201809160534,98,1001001009
NP  ,B1   ,201809160535,93,1001001009
NP  ,B1   ,201809160536,79,1001001009
NP  ,B1   ,201809160537,75,1001001009
NP  ,B1   ,201809160538,91,1001001009
NP  ,B1   ,201809160539,73,1001001009
NP  ,B1   ,201809160540,74,1001001009
NP  ,B1   ,201809160541,79,1001001009
NP  ,B1   ,201809160542,86,1001001009
NP  ,B1   ,201809160543,110,1001001009
NP  ,B1   ,201809160544,97,1001001009
NP  ,B1   ,201809160545,132,1001001009
NP  ,B1   ,201809160546,113,1001001009
NP  ,B1   ,201809160547,77,1001001009
NP  ,B1   ,201809160548,92,1001001009
NP  ,B1   ,201809160549,103,1001001009
NP  ,B1   ,201809160550,127,1001001009
NP  ,B1   ,201809160551,85,1001001009
NP  ,B1   ,201809160552,116,1001001009
NP  ,B1   ,201809160553,145,1001001009
