TUN ,B1   ,201809160902,51,1001001009
TUN ,B1   ,201809160903,35,1001001009
TUN ,B1   ,201809160904,61,1001001009
TUN ,B1   ,201809160905,68,1001001009
TUN ,B1   ,201809160906,30,1001001009
TUN ,B1   ,201809160907,67,1001001009
TUN ,B1   ,201809160908,42,1001001009
TUN ,B1   ,201809160909,26,1001001009
TUN ,B1   ,201809160910,79,1001001009
TUN ,B1   ,201809160911,57,1001001009
TUN ,B1   ,201809160912,58,1001001009
TUN ,B1   ,201809160913,52,1001001009
TUN ,B1   ,201809160914,65,1001001009
TUN ,B1   ,201809160915,47,1001001009
TUN ,B1   ,201809160916,43,1001001009
TUN ,B1   ,201809160917,61,1001001009
TUN ,B1   ,201809160918,34,1001001009
TUN ,B1   ,201809160919,45,1001001009
TUN ,B1   ,201809160920,29,1001001009
TUN ,B1   ,201809160921,46,1001001009
TUN ,B1   ,201809160922,37,1001001009
TUN ,B1   ,201809160923,53,1001001009
TUN ,B1   ,201809160924,63,1001001009
TUN ,B1   ,201809160925,53,1001001009
TUN ,B1   ,201809160926,59,1001001009
TUN ,B1   ,201809160927,45,1001001009
TUN ,B1   ,201809160928,40,1001001009
TUN ,B1   ,201809160929,42,1001001009
TUN ,B1   ,201809160930,55,1001001009
TUN ,B1   ,201809160931,20,1001001009
TUN ,B1   ,201809160932,55,1001001009
TUN ,B1   ,201809160933,56,1001001009
TUN ,B1   ,201809160934,41,1001001009
TUN ,B1   ,201809160935,55,1001001009
TUN ,B1   ,201809160936,35,1001001009
TUN ,B1   ,201809160937,53,1001001009
TUN ,B1   ,201809160938,53,1001001009
TUN ,B1   ,201809160939,47,1001001009
TUN ,B1   ,201809160940,19,1001001009
TUN ,B1   ,201809160941,33,1001001009
TUN ,B1   ,201809160942,20,1001001009
TUN ,B1   ,201809160943,29,1001001009
TUN ,B1   ,201809160944,23,1001001009
TUN ,B1   ,201809160945,57,1001001009
TUN ,B1   ,201809160946,46,1001001009
TUN ,B1   ,201809160947,63,1001001009
TUN ,B1   ,201809160948,51,1001001009
TUN ,B1   ,201809160949,33,1001001009
TUN ,B1   ,201809160950,62,1001001009
TUN ,B1   ,201809160951,40,1001001009
TUN ,B1   ,201809160952,48,1001001009
TUN ,B1   ,201809160953,20,1001001009
TUN ,B1   ,201809160954,35,1001001009
TUN ,B1   ,201809160955,28,1001001009
TUN ,B1   ,201809160956,47,1001001009
TUN ,B1   ,201809160957,36,1001001009
TUN ,B1   ,201809160958,36,1001001009
TUN ,B1   ,201809160959,52,1001001009
TUN ,B1   ,201809161000,62,1001001009
TUN ,B1   ,201809161001,57,1001001009
TUN ,B1   ,201809161002,57,1001001009
TUN ,B1   ,201809161003,42,1001001009
TUN ,B1   ,201809161004,28,1001001009
TUN ,B1   ,201809161005,27,1001001009
TUN ,B1   ,201809161006,40,1001001009
TUN ,B1   ,201809161007,57,1001001009
TUN ,B1   ,201809161008,39,1001001009
TUN ,B1   ,201809161009,58,1001001009
