SHW ,B1   ,201809160443,84,1001001009
SHW ,B1   ,201809160444,67,1001001009
SHW ,B1   ,201809160445,69,1001001009
SHW ,B1   ,201809160446,72,1001001009
SHW ,B1   ,201809160447,94,1001001009
SHW ,B1   ,201809160448,69,1001001009
SHW ,B1   ,201809160449,62,1001001009
SHW ,B1   ,201809160450,67,1001001009
SHW ,B1   ,201809160451,95,1001001009
SHW ,B1   ,201809160452,82,1001001009
SHW ,B1   ,201809160453,75,1001001009
SHW ,B1   ,201809160454,73,1001001009
SHW ,B1   ,201809160455,76,1001001009
SHW ,B1   ,201809160456,90,1001001009
SHW ,B1   ,201809160457,86,1001001009
SHW ,B1   ,201809160458,84,1001001009
SHW ,B1   ,201809160459,87,1001001009
SHW ,B1   ,201809160500,70,1001001009
SHW ,B1   ,201809160501,83,1001001009
SHW ,B1   ,201809160502,71,1001001009
SHW ,B1   ,201809160503,63,1001001009
SHW ,B1   ,201809160504,58,1001001009
SHW ,B1   ,201809160505,77,1001001009
SHW ,B1   ,201809160506,88,1001001009
SHW ,B1   ,201809160507,98,1001001009
SHW ,B1   ,201809160508,77,1001001009
SHW ,B1   ,201809160509,75,1001001009
SHW ,B1   ,201809160510,70,1001001009
SHW ,B1   ,201809160511,71,1001001009
SHW ,B1   ,201809160512,88,1001001009
SHW ,B1   ,201809160513,91,1001001009
SHW ,B1   ,201809160514,112,1001001009
SHW ,B1   ,201809160515,116,1001001009
SHW ,B1   ,201809160516,85,1001001009
SHW ,B1   ,201809160517,79,1001001009
SHW ,B1   ,201809160518,147,1001001009
SHW ,B1   ,201809160519,132,1001001009
SHW ,B1   ,201809160520,146,1001001009
SHW ,B1   ,201809160521,117,1001001009
SHW ,B1   ,201809160522,119,1001001009
SHW ,B1   ,201809160523,101,1001001009
SHW ,B1   ,201809160524,106,1001001009
SHW ,B1   ,201809160525,99,1001001009
SHW ,B1   ,201809160526,86,1001001009
SHW ,B1   ,201809160527,89,1001001009
SHW ,B1   ,201809160528,83,1001001009
SHW ,B1   ,201809160529,64,1001001009
SHW ,B1   ,201809160530,69,1001001009
SHW ,B1   ,201809160531,68,1001001009
SHW ,B1   ,201809160532,63,1001001009
SHW ,B1   ,201809160533,52,1001001009
SHW ,B1   ,201809160534,70,1001001009
SHW ,B1   ,201809160535,72,1001001009
SHW ,B1   ,201809160536,72,1001001009
SHW ,B1   ,201809160537,76,1001001009
SHW ,B1   ,201809160538,59,1001001009
SHW ,B1   ,201809160539,54,1001001009
SHW ,B1   ,201809160540,53,1001001009
SHW ,B1   ,201809160541,51,1001001009
SHW ,B1   ,201809160542,67,1001001009
SHW ,B1   ,201809160543,80,1001001009
SHW ,B1   ,201809160544,70,1001001009
SHW ,B1   ,201809160545,59,1001001009
SHW ,B1   ,201809160546,63,1001001009
SHW ,B1   ,201809160547,57,1001001009
SHW ,B1   ,201809160548,92,1001001009
SHW ,B1   ,201809160549,88,1001001009
SHW ,B1   ,201809160550,78,1001001009
SHW ,B1   ,201809160551,58,1001001009
SHW ,B1   ,201809160552,64,1001001009
SHW ,B1   ,201809160553,63,1001001009
SHW ,B1   ,201809160554,81,1001001009
