TC  ,B1   ,201809160956,312,1001001009
TC  ,B1   ,201809160957,371,1001001009
TC  ,B1   ,201809160958,417,1001001009
TC  ,B1   ,201809160959,412,1001001009
TC  ,B1   ,201809161000,402,1001001009
TC  ,B1   ,201809161001,358,1001001009
TC  ,B1   ,201809161002,358,1001001009
TC  ,B1   ,201809161003,326,1001001009
TC  ,B1   ,201809161004,390,1001001009
TC  ,B1   ,201809161005,374,1001001009
TC  ,B1   ,201809161006,315,1001001009
TC  ,B1   ,201809161007,360,1001001009
TC  ,B1   ,201809161008,376,1001001009
TC  ,B1   ,201809161009,461,1001001009
TC  ,B1   ,201809161010,418,1001001009
TC  ,B1   ,201809161011,394,1001001009
TC  ,B1   ,201809161012,285,1001001009
TC  ,B1   ,201809161013,292,1001001009
TC  ,B1   ,201809161014,340,1001001009
TC  ,B1   ,201809161015,349,1001001009
TC  ,B1   ,201809161016,304,1001001009
TC  ,B1   ,201809161017,358,1001001009
TC  ,B1   ,201809161018,420,1001001009
TC  ,B1   ,201809161019,457,1001001009
TC  ,B1   ,201809161020,450,1001001009
TC  ,B1   ,201809161021,380,1001001009
TC  ,B1   ,201809161022,339,1001001009
TC  ,B1   ,201809161023,379,1001001009
TC  ,B1   ,201809161024,486,1001001009
TC  ,B1   ,201809161025,527,1001001009
TC  ,B1   ,201809161026,468,1001001009
TC  ,B1   ,201809161027,435,1001001009
TC  ,B1   ,201809161028,420,1001001009
TC  ,B1   ,201809161029,473,1001001009
TC  ,B1   ,201809161030,533,1001001009
TC  ,B1   ,201809161031,545,1001001009
TC  ,B1   ,201809161032,517,1001001009
TC  ,B1   ,201809161033,616,2001002009
TC  ,B1   ,201809161034,564,2001002009
TC  ,B1   ,201809161035,583,2001002009
