CCH ,B1   ,201809160945,225,1001001009
CCH ,B1   ,201809160946,238,1001001009
CCH ,B1   ,201809160947,220,1001001009
CCH ,B1   ,201809160948,241,1001001009
CCH ,B1   ,201809160949,229,1001001009
CCH ,B1   ,201809160950,221,1001001009
CCH ,B1   ,201809160951,214,1001001009
CCH ,B1   ,201809160952,182,1001001009
CCH ,B1   ,201809160953,202,1001001009
CCH ,B1   ,201809160954,203,1001001009
CCH ,B1   ,201809160955,198,1001001009
CCH ,B1   ,201809160956,219,1001001009
CCH ,B1   ,201809160957,201,1001001009
CCH ,B1   ,201809160958,184,1001001009
CCH ,B1   ,201809160959,213,1001001009
CCH ,B1   ,201809161000,200,1001001009
CCH ,B1   ,201809161001,199,1001001009
CCH ,B1   ,201809161002,201,1001001009
CCH ,B1   ,201809161003,197,1001001009
CCH ,B1   ,201809161004,227,1001001009
CCH ,B1   ,201809161005,193,1001001009
CCH ,B1   ,201809161006,222,1001001009
CCH ,B1   ,201809161007,205,1001001009
CCH ,B1   ,201809161008,214,1001001009
CCH ,B1   ,201809161009,229,1001001009
CCH ,B1   ,201809161010,238,1001001009
CCH ,B1   ,201809161011,275,1001001009
CCH ,B1   ,201809161012,252,1001001009
CCH ,B1   ,201809161013,216,1001001009
CCH ,B1   ,201809161014,238,1001001009
CCH ,B1   ,201809161015,215,1001001009
CCH ,B1   ,201809161016,267,1001001009
CCH ,B1   ,201809161017,246,1001001009
CCH ,B1   ,201809161018,252,1001001009
CCH ,B1   ,201809161019,225,1001001009
CCH ,B1   ,201809161020,252,1001001009
CCH ,B1   ,201809161021,247,1001001009
CCH ,B1   ,201809161022,239,1001001009
CCH ,B1   ,201809161023,252,1001001009
CCH ,B1   ,201809161024,295,1001001009
CCH ,B1   ,201809161025,269,1001001009
CCH ,B1   ,201809161026,246,1001001009
CCH ,B1   ,201809161027,269,1001001009
CCH ,B1   ,201809161028,296,1001001009
CCH ,B1   ,201809161029,327,1001001009
CCH ,B1   ,201809161030,242,1001001009
CCH ,B1   ,201809161031,240,1001001009
CCH ,B1   ,201809161032,257,1001001009
CCH ,B1   ,201809161033,254,1001001009
CCH ,B1   ,201809161034,263,1001001009
CCH ,B1   ,201809161035,274,1001001009
