WLP ,B1   ,201809160500,40,1001001009
WLP ,B1   ,201809160501,65,1001001009
WLP ,B1   ,201809160502,69,1001001009
WLP ,B1   ,201809160503,58,1001001009
WLP ,B1   ,201809160504,70,1001001009
WLP ,B1   ,201809160505,75,1001001009
WLP ,B1   ,201809160506,49,1001001009
WLP ,B1   ,201809160507,74,1001001009
WLP ,B1   ,201809160508,92,1001001009
WLP ,B1   ,201809160509,49,1001001009
WLP ,B1   ,201809160510,38,1001001009
WLP ,B1   ,201809160511,57,1001001009
WLP ,B1   ,201809160512,56,1001001009
WLP ,B1   ,201809160513,45,1001001009
WLP ,B1   ,201809160514,45,1001001009
WLP ,B1   ,201809160515,78,1001001009
WLP ,B1   ,201809160516,66,1001001009
WLP ,B1   ,201809160517,40,1001001009
WLP ,B1   ,201809160518,54,1001001009
WLP ,B1   ,201809160519,53,1001001009
WLP ,B1   ,201809160520,73,1001001009
WLP ,B1   ,201809160521,49,1001001009
WLP ,B1   ,201809160522,46,1001001009
WLP ,B1   ,201809160523,45,1001001009
WLP ,B1   ,201809160524,48,1001001009
WLP ,B1   ,201809160525,72,1001001009
WLP ,B1   ,201809160526,52,1001001009
WLP ,B1   ,201809160527,75,1001001009
WLP ,B1   ,201809160528,51,1001001009
WLP ,B1   ,201809160529,24,1001001009
WLP ,B1   ,201809160530,40,1001001009
WLP ,B1   ,201809160531,58,1001001009
WLP ,B1   ,201809160532,83,1001001009
WLP ,B1   ,201809160533,43,1001001009
WLP ,B1   ,201809160534,52,1001001009
WLP ,B1   ,201809160535,61,1001001009
WLP ,B1   ,201809160536,71,1001001009
WLP ,B1   ,201809160537,77,1001001009
WLP ,B1   ,201809160538,54,1001001009
WLP ,B1   ,201809160539,58,1001001009
WLP ,B1   ,201809160540,60,1001001009
WLP ,B1   ,201809160541,70,1001001009
WLP ,B1   ,201809160542,61,1001001009
WLP ,B1   ,201809160543,56,1001001009
WLP ,B1   ,201809160544,61,1001001009
WLP ,B1   ,201809160545,65,1001001009
WLP ,B1   ,201809160546,73,1001001009
WLP ,B1   ,201809160547,46,1001001009
WLP ,B1   ,201809160548,68,1001001009
WLP ,B1   ,201809160549,52,1001001009
WLP ,B1   ,201809160550,70,1001001009
WLP ,B1   ,201809160551,41,1001001009
WLP ,B1   ,201809160552,42,1001001009
WLP ,B1   ,201809160553,67,1001001009
WLP ,B1   ,201809160554,56,1001001009
WLP ,B1   ,201809160555,73,1001001009
WLP ,B1   ,201809160556,34,1001001009
WLP ,B1   ,201809160557,31,1001001009
WLP ,B1   ,201809160558,61,1001001009
WLP ,B1   ,201809160559,61,1001001009
WLP ,B1   ,201809160600,38,1001001009
WLP ,B1   ,201809160601,37,1001001009
WLP ,B1   ,201809160602,47,1001001009
WLP ,B1   ,201809160603,70,1001001009
WLP ,B1   ,201809160604,40,1001001009
WLP ,B1   ,201809160605,54,1001001009
WLP ,B1   ,201809160606,46,1001001009
WLP ,B1   ,201809160607,68,1001001009
WLP ,B1   ,201809160608,47,1001001009
WLP ,B1   ,201809160609,32,1001001009
WLP ,B1   ,201809160610,39,1001001009
WLP ,B1   ,201809160611,41,1001001009
WLP ,B1   ,201809160612,35,1001001009
WLP ,B1   ,201809160613,35,1001001009
WLP ,B1   ,201809160614,42,1001001009
WLP ,B1   ,201809160615,46,1001001009
WLP ,B1   ,201809160616,37,1001001009
WLP ,B1   ,201809160617,31,1001001009
WLP ,B1   ,201809160618,47,1001001009
WLP ,B1   ,201809160619,58,1001001009
WLP ,B1   ,201809160620,46,1001001009
WLP ,B1   ,201809160621,57,1001001009
WLP ,B1   ,201809160622,61,1001001009
WLP ,B1   ,201809160623,45,1001001009
WLP ,B1   ,201809160624,34,1001001009
WLP ,B1   ,201809160625,47,1001001009
WLP ,B1   ,201809160626,28,1001001009
WLP ,B1   ,201809160627,27,1001001009
WLP ,B1   ,201809160628,55,1001001009
WLP ,B1   ,201809160629,46,1001001009
WLP ,B1   ,201809160630,50,1001001009
WLP ,B1   ,201809160631,45,1001001009
WLP ,B1   ,201809160632,56,1001001009
WLP ,B1   ,201809160633,60,1001001009
WLP ,B1   ,201809160634,36,1001001009
WLP ,B1   ,201809160635,35,1001001009
