SE  ,B1   ,201809160712,82,1001001009
SE  ,B1   ,201809160713,49,1001001009
SE  ,B1   ,201809160714,38,1001001009
SE  ,B1   ,201809160715,61,1001001009
SE  ,B1   ,201809160716,33,1001001009
SE  ,B1   ,201809160717,79,1001001009
SE  ,B1   ,201809160718,49,1001001009
SE  ,B1   ,201809160719,31,1001001009
SE  ,B1   ,201809160720,74,1001001009
SE  ,B1   ,201809160721,73,1001001009
SE  ,B1   ,201809160722,112,1001001009
SE  ,B1   ,201809160723,100,1001001009
SE  ,B1   ,201809160724,74,1001001009
SE  ,B1   ,201809160725,57,1001001009
SE  ,B1   ,201809160726,59,1001001009
SE  ,B1   ,201809160727,47,1001001009
SE  ,B1   ,201809160728,59,1001001009
SE  ,B1   ,201809160729,64,1001001009
SE  ,B1   ,201809160730,51,1001001009
SE  ,B1   ,201809160731,56,1001001009
SE  ,B1   ,201809160732,44,1001001009
SE  ,B1   ,201809160733,43,1001001009
SE  ,B1   ,201809160734,69,1001001009
SE  ,B1   ,201809160735,49,1001001009
SE  ,B1   ,201809160736,50,1001001009
SE  ,B1   ,201809160737,27,1001001009
SE  ,B1   ,201809160738,25,1001001009
SE  ,B1   ,201809160739,47,1001001009
SE  ,B1   ,201809160740,51,1001001009
SE  ,B1   ,201809160741,94,1001001009
SE  ,B1   ,201809160742,57,1001001009
SE  ,B1   ,201809160743,63,1001001009
SE  ,B1   ,201809160744,76,1001001009
SE  ,B1   ,201809160745,57,1001001009
SE  ,B1   ,201809160746,17,1001001009
SE  ,B1   ,201809160747,27,1001001009
SE  ,B1   ,201809160748,42,1001001009
SE  ,B1   ,201809160749,90,1001001009
SE  ,B1   ,201809160750,101,1001001009
SE  ,B1   ,201809160751,95,1001001009
SE  ,B1   ,201809160752,95,1001001009
SE  ,B1   ,201809160753,91,1001001009
SE  ,B1   ,201809160754,56,1001001009
SE  ,B1   ,201809160755,58,1001001009
SE  ,B1   ,201809160756,64,1001001009
SE  ,B1   ,201809160757,92,1001001009
SE  ,B1   ,201809160758,99,1001001009
SE  ,B1   ,201809160759,106,1001001009
SE  ,B1   ,201809160800,80,1001001009
SE  ,B1   ,201809160801,73,1001001009
SE  ,B1   ,201809160802,62,1001001009
SE  ,B1   ,201809160803,72,1001001009
SE  ,B1   ,201809160804,101,1001001009
SE  ,B1   ,201809160805,109,1001001009
SE  ,B1   ,201809160806,98,1001001009
SE  ,B1   ,201809160807,60,1001001009
SE  ,B1   ,201809160808,43,1001001009
SE  ,B1   ,201809160809,47,1001001009
SE  ,B1   ,201809160810,62,1001001009
SE  ,B1   ,201809160811,91,1001001009
SE  ,B1   ,201809160812,79,1001001009
SE  ,B1   ,201809160813,81,1001001009
SE  ,B1   ,201809160814,91,1001001009
SE  ,B1   ,201809160815,121,1001001009
SE  ,B1   ,201809160816,84,1001001009
SE  ,B1   ,201809160817,46,1001001009
SE  ,B1   ,201809160818,83,1001001009
SE  ,B1   ,201809160819,110,1001001009
SE  ,B1   ,201809160820,114,1001001009
SE  ,B1   ,201809160821,87,1001001009
SE  ,B1   ,201809160822,96,1001001009
SE  ,B1   ,201809160823,82,1001001009
SE  ,B1   ,201809160824,74,1001001009
SE  ,B1   ,201809160825,118,1001001009
SE  ,B1   ,201809160826,107,1001001009
SE  ,B1   ,201809160827,46,1001001009
SE  ,B1   ,201809160828,94,1001001009
SE  ,B1   ,201809160829,109,1001001009
SE  ,B1   ,201809160830,96,1001001009
SE  ,B1   ,201809160831,85,1001001009
SE  ,B1   ,201809160832,88,1001001009
SE  ,B1   ,201809160833,77,1001001009
SE  ,B1   ,201809160834,94,1001001009
SE  ,B1   ,201809160835,100,1001001009
SE  ,B1   ,201809160836,105,1001001009
SE  ,B1   ,201809160837,89,1001001009
SE  ,B1   ,201809160838,78,1001001009
SE  ,B1   ,201809160839,83,1001001009
SE  ,B1   ,201809160840,69,1001001009
SE  ,B1   ,201809160841,73,1001001009
SE  ,B1   ,201809160842,84,1001001009
SE  ,B1   ,201809160843,69,1001001009
SE  ,B1   ,201809160844,72,1001001009
SE  ,B1   ,201809160845,121,1001001009
SE  ,B1   ,201809160846,122,1001001009
SE  ,B1   ,201809160847,83,1001001009
SE  ,B1   ,201809160848,73,1001001009
SE  ,B1   ,201809160849,89,1001001009
SE  ,B1   ,201809160850,69,1001001009
SE  ,B1   ,201809160851,87,1001001009
SE  ,B1   ,201809160852,108,1001001009
SE  ,B1   ,201809160853,110,1001001009
SE  ,B1   ,201809160854,65,1001001009
SE  ,B1   ,201809160855,62,1001001009
SE  ,B1   ,201809160856,58,1001001009
SE  ,B1   ,201809160857,141,1001001009
SE  ,B1   ,201809160858,121,1001001009
SE  ,B1   ,201809160859,102,1001001009
SE  ,B1   ,201809160900,97,1001001009
SE  ,B1   ,201809160901,92,1001001009
SE  ,B1   ,201809160902,78,1001001009
SE  ,B1   ,201809160903,118,1001001009
SE  ,B1   ,201809160904,115,1001001009
SE  ,B1   ,201809160905,106,1001001009
SE  ,B1   ,201809160906,111,1001001009
SE  ,B1   ,201809160907,79,1001001009
SE  ,B1   ,201809160908,93,1001001009
SE  ,B1   ,201809160909,81,1001001009
SE  ,B1   ,201809160910,97,1001001009
SE  ,B1   ,201809160911,78,1001001009
SE  ,B1   ,201809160912,82,1001001009
SE  ,B1   ,201809160913,81,1001001009
SE  ,B1   ,201809160914,92,1001001009
SE  ,B1   ,201809160915,112,1001001009
SE  ,B1   ,201809160916,111,1001001009
SE  ,B1   ,201809160917,68,1001001009
SE  ,B1   ,201809160918,140,1001001009
SE  ,B1   ,201809160919,125,1001001009
SE  ,B1   ,201809160920,95,1001001009
SE  ,B1   ,201809160921,81,1001001009
SE  ,B1   ,201809160922,115,1001001009
SE  ,B1   ,201809160923,118,1001001009
SE  ,B1   ,201809160924,100,1001001009
SE  ,B1   ,201809160925,164,1001001009
SE  ,B1   ,201809160926,120,1001001009
SE  ,B1   ,201809160927,96,1001001009
SE  ,B1   ,201809160928,81,1001001009
SE  ,B1   ,201809160929,75,1001001009
SE  ,B1   ,201809160930,138,1001001009
SE  ,B1   ,201809160931,98,1001001009
SE  ,B1   ,201809160932,78,1001001009
SE  ,B1   ,201809160933,125,1001001009
SE  ,B1   ,201809160934,106,1001001009
SE  ,B1   ,201809160935,125,1001001009
SE  ,B1   ,201809160936,110,1001001009
SE  ,B1   ,201809160937,102,1001001009
SE  ,B1   ,201809160938,111,1001001009
SE  ,B1   ,201809160939,143,1001001009
SE  ,B1   ,201809160940,76,1001001009
SE  ,B1   ,201809160941,42,1001001009
SE  ,B1   ,201809160942,63,1001001009
SE  ,B1   ,201809160943,92,1001001009
SE  ,B1   ,201809160944,113,1001001009
SE  ,B1   ,201809160945,81,1001001009
SE  ,B1   ,201809160946,139,1001001009
SE  ,B1   ,201809160947,120,1001001009
SE  ,B1   ,201809160948,116,1001001009
SE  ,B1   ,201809160949,122,1001001009
SE  ,B1   ,201809160950,87,1001001009
SE  ,B1   ,201809160951,173,1001001009
SE  ,B1   ,201809160952,83,1001001009
