SEK ,B1   ,201809160431,38,1001001009
SEK ,B1   ,201809160432,39,1001001009
SEK ,B1   ,201809160433,47,1001001009
SEK ,B1   ,201809160434,34,1001001009
SEK ,B1   ,201809160435,51,1001001009
SEK ,B1   ,201809160436,42,1001001009
SEK ,B1   ,201809160437,70,1001001009
SEK ,B1   ,201809160438,60,1001001009
SEK ,B1   ,201809160439,67,1001001009
SEK ,B1   ,201809160440,67,1001001009
SEK ,B1   ,201809160441,75,1001001009
SEK ,B1   ,201809160442,84,1001001009
SEK ,B1   ,201809160443,89,1001001009
SEK ,B1   ,201809160444,77,1001001009
SEK ,B1   ,201809160445,65,1001001009
SEK ,B1   ,201809160446,65,1001001009
SEK ,B1   ,201809160447,78,1001001009
SEK ,B1   ,201809160448,61,1001001009
SEK ,B1   ,201809160449,61,1001001009
SEK ,B1   ,201809160450,58,1001001009
SEK ,B1   ,201809160451,52,1001001009
SEK ,B1   ,201809160452,52,1001001009
SEK ,B1   ,201809160453,42,1001001009
SEK ,B1   ,201809160454,49,1001001009
SEK ,B1   ,201809160455,47,1001001009
SEK ,B1   ,201809160456,75,1001001009
SEK ,B1   ,201809160457,60,1001001009
SEK ,B1   ,201809160458,79,1001001009
SEK ,B1   ,201809160459,71,1001001009
SEK ,B1   ,201809160500,85,1001001009
SEK ,B1   ,201809160501,60,1001001009
SEK ,B1   ,201809160502,86,1001001009
SEK ,B1   ,201809160503,100,1001001009
SEK ,B1   ,201809160504,79,1001001009
SEK ,B1   ,201809160505,81,1001001009
SEK ,B1   ,201809160506,78,1001001009
SEK ,B1   ,201809160507,65,1001001009
SEK ,B1   ,201809160508,66,1001001009
SEK ,B1   ,201809160509,77,1001001009
SEK ,B1   ,201809160510,96,1001001009
SEK ,B1   ,201809160511,100,1001001009
SEK ,B1   ,201809160512,95,1001001009
SEK ,B1   ,201809160513,105,1001001009
SEK ,B1   ,201809160514,82,1001001009
SEK ,B1   ,201809160515,85,1001001009
SEK ,B1   ,201809160516,71,1001001009
SEK ,B1   ,201809160517,78,1001001009
SEK ,B1   ,201809160518,61,1001001009
SEK ,B1   ,201809160519,60,1001001009
SEK ,B1   ,201809160520,79,1001001009
SEK ,B1   ,201809160521,63,1001001009
SEK ,B1   ,201809160522,61,1001001009
SEK ,B1   ,201809160523,84,1001001009
SEK ,B1   ,201809160524,72,1001001009
SEK ,B1   ,201809160525,71,1001001009
SEK ,B1   ,201809160526,81,1001001009
SEK ,B1   ,201809160527,83,1001001009
SEK ,B1   ,201809160528,71,1001001009
SEK ,B1   ,201809160529,72,1001001009
SEK ,B1   ,201809160530,81,1001001009
SEK ,B1   ,201809160531,88,1001001009
SEK ,B1   ,201809160532,80,1001001009
SEK ,B1   ,201809160533,48,1001001009
SEK ,B1   ,201809160534,49,1001001009
SEK ,B1   ,201809160535,63,1001001009
SEK ,B1   ,201809160536,59,1001001009
SEK ,B1   ,201809160537,68,1001001009
SEK ,B1   ,201809160538,77,1001001009
SEK ,B1   ,201809160539,70,1001001009
SEK ,B1   ,201809160540,61,1001001009
SEK ,B1   ,201809160541,40,1001001009
SEK ,B1   ,201809160542,55,1001001009
SEK ,B1   ,201809160543,55,1001001009
SEK ,B1   ,201809160544,79,1001001009
SEK ,B1   ,201809160545,72,1001001009
SEK ,B1   ,201809160546,63,1001001009
SEK ,B1   ,201809160547,55,1001001009
SEK ,B1   ,201809160548,72,1001001009
SEK ,B1   ,201809160549,85,1001001009
SEK ,B1   ,201809160550,85,1001001009
SEK ,B1   ,201809160551,52,1001001009
SEK ,B1   ,201809160552,48,1001001009
SEK ,B1   ,201809160553,57,1001001009
SEK ,B1   ,201809160554,42,1001001009
SEK ,B1   ,201809160555,37,1001001009
SEK ,B1   ,201809160556,34,1001001009
SEK ,B1   ,201809160557,26,1001001009
SEK ,B1   ,201809160558,59,1001001009
SEK ,B1   ,201809160559,41,1001001009
SEK ,B1   ,201809160600,38,1001001009
SEK ,B1   ,201809160601,36,1001001009
SEK ,B1   ,201809160602,68,1001001009
SEK ,B1   ,201809160603,66,1001001009
