SF  ,B1   ,201809160704,22,1001001009
SF  ,B1   ,201809160705,25,1001001009
SF  ,B1   ,201809160706,42,1001001009
SF  ,B1   ,201809160707,46,1001001009
SF  ,B1   ,201809160708,25,1001001009
SF  ,B1   ,201809160709,12,1001001009
SF  ,B1   ,201809160710,16,1001001009
SF  ,B1   ,201809160711,20,1001001009
SF  ,B1   ,201809160712,27,1001001009
SF  ,B1   ,201809160713,17,1001001009
SF  ,B1   ,201809160714,32,1001001009
SF  ,B1   ,201809160715,58,1001001009
SF  ,B1   ,201809160716,24,1001001009
SF  ,B1   ,201809160717,10,1001001009
SF  ,B1   ,201809160718,12,1001001009
SF  ,B1   ,201809160719,17,1001001009
SF  ,B1   ,201809160720,15,1001001009
SF  ,B1   ,201809160721,20,1001001009
SF  ,B1   ,201809160722,23,1001001009
SF  ,B1   ,201809160723,14,1001001009
SF  ,B1   ,201809160724,23,1001001009
SF  ,B1   ,201809160725,34,1001001009
SF  ,B1   ,201809160726,21,1001001009
SF  ,B1   ,201809160727,49,1001001009
SF  ,B1   ,201809160728,32,1001001009
SF  ,B1   ,201809160729,57,1001001009
SF  ,B1   ,201809160730,32,1001001009
SF  ,B1   ,201809160731,41,1001001009
SF  ,B1   ,201809160732,24,1001001009
SF  ,B1   ,201809160733,39,1001001009
SF  ,B1   ,201809160734,25,1001001009
SF  ,B1   ,201809160735,29,1001001009
SF  ,B1   ,201809160736,18,1001001009
SF  ,B1   ,201809160737,26,1001001009
SF  ,B1   ,201809160738,29,1001001009
SF  ,B1   ,201809160739,28,1001001009
SF  ,B1   ,201809160740,36,1001001009
SF  ,B1   ,201809160741,10,1001001009
SF  ,B1   ,201809160742,26,1001001009
SF  ,B1   ,201809160743,38,1001001009
SF  ,B1   ,201809160744,18,1001001009
SF  ,B1   ,201809160745,22,1001001009
SF  ,B1   ,201809160746,13,1001001009
SF  ,B1   ,201809160747,35,1001001009
SF  ,B1   ,201809160748,25,1001001009
SF  ,B1   ,201809160749,34,1001001009
SF  ,B1   ,201809160750,33,1001001009
SF  ,B1   ,201809160751,35,1001001009
SF  ,B1   ,201809160752,34,1001001009
SF  ,B1   ,201809160753,12,1001001009
SF  ,B1   ,201809160754,12,1001001009
SF  ,B1   ,201809160755,23,1001001009
SF  ,B1   ,201809160756,18,1001001009
SF  ,B1   ,201809160757,39,1001001009
SF  ,B1   ,201809160758,51,1001001009
SF  ,B1   ,201809160759,45,1001001009
SF  ,B1   ,201809160800,27,1001001009
SF  ,B1   ,201809160801,28,1001001009
SF  ,B1   ,201809160802,52,1001001009
SF  ,B1   ,201809160803,65,1001001009
SF  ,B1   ,201809160804,28,1001001009
SF  ,B1   ,201809160805,25,1001001009
SF  ,B1   ,201809160806,41,1001001009
SF  ,B1   ,201809160807,34,1001001009
SF  ,B1   ,201809160808,31,1001001009
SF  ,B1   ,201809160809,38,1001001009
SF  ,B1   ,201809160810,31,1001001009
SF  ,B1   ,201809160811,32,1001001009
SF  ,B1   ,201809160812,23,1001001009
SF  ,B1   ,201809160813,36,1001001009
SF  ,B1   ,201809160814,38,1001001009
SF  ,B1   ,201809160815,33,1001001009
SF  ,B1   ,201809160816,51,1001001009
SF  ,B1   ,201809160817,43,1001001009
SF  ,B1   ,201809160818,18,1001001009
SF  ,B1   ,201809160819,28,1001001009
SF  ,B1   ,201809160820,24,1001001009
SF  ,B1   ,201809160821,30,1001001009
SF  ,B1   ,201809160822,37,1001001009
SF  ,B1   ,201809160823,51,1001001009
SF  ,B1   ,201809160824,34,1001001009
SF  ,B1   ,201809160825,24,1001001009
SF  ,B1   ,201809160826,32,1001001009
SF  ,B1   ,201809160827,37,1001001009
SF  ,B1   ,201809160828,35,1001001009
SF  ,B1   ,201809160829,24,1001001009
SF  ,B1   ,201809160830,10,1001001009
SF  ,B1   ,201809160831,36,1001001009
SF  ,B1   ,201809160832,33,1001001009
SF  ,B1   ,201809160833,37,1001001009
SF  ,B1   ,201809160834,27,1001001009
SF  ,B1   ,201809160835,40,1001001009
SF  ,B1   ,201809160836,22,1001001009
SF  ,B1   ,201809160837,24,1001001009
SF  ,B1   ,201809160838,27,1001001009
SF  ,B1   ,201809160839,70,1001001009
SF  ,B1   ,201809160840,59,1001001009
SF  ,B1   ,201809160841,54,1001001009
SF  ,B1   ,201809160842,47,1001001009
SF  ,B1   ,201809160843,24,1001001009
SF  ,B1   ,201809160844,42,1001001009
SF  ,B1   ,201809160845,58,1001001009
SF  ,B1   ,201809160846,28,1001001009
SF  ,B1   ,201809160847,22,1001001009
SF  ,B1   ,201809160848,33,1001001009
SF  ,B1   ,201809160849,36,1001001009
SF  ,B1   ,201809160850,33,1001001009
SF  ,B1   ,201809160851,60,1001001009
SF  ,B1   ,201809160852,37,1001001009
SF  ,B1   ,201809160853,29,1001001009
SF  ,B1   ,201809160854,35,1001001009
SF  ,B1   ,201809160855,41,1001001009
SF  ,B1   ,201809160856,40,1001001009
SF  ,B1   ,201809160857,59,1001001009
SF  ,B1   ,201809160858,87,1001001009
SF  ,B1   ,201809160859,27,1001001009
SF  ,B1   ,201809160900,56,1001001009
SF  ,B1   ,201809160901,54,1001001009
SF  ,B1   ,201809160902,58,1001001009
SF  ,B1   ,201809160903,94,1001001009
SF  ,B1   ,201809160904,62,1001001009
SF  ,B1   ,201809160905,28,1001001009
SF  ,B1   ,201809160906,16,1001001009
SF  ,B1   ,201809160907,25,1001001009
SF  ,B1   ,201809160908,29,1001001009
SF ,B1   ,201809160909,,
SF  ,B1   ,201809160910,53,1001001009
SF  ,B1   ,201809160911,34,1001001009
SF  ,B1   ,201809160912,81,1001001009
SF  ,B1   ,201809160913,79,1001001009
SF  ,B1   ,201809160914,52,1001001009
SF  ,B1   ,201809160915,41,1001001009
SF  ,B1   ,201809160916,26,1001001009
SF  ,B1   ,201809160917,29,1001001009
SF  ,B1   ,201809160918,33,1001001009
SF  ,B1   ,201809160919,27,1001001009
SF  ,B1   ,201809160920,38,1001001009
SF  ,B1   ,201809160921,35,1001001009
SF  ,B1   ,201809160922,27,1001001009
SF  ,B1   ,201809160923,92,1001001009
SF  ,B1   ,201809160924,78,1001001009
SF  ,B1   ,201809160925,48,1001001009
SF  ,B1   ,201809160926,59,1001001009
SF  ,B1   ,201809160927,68,1001001009
SF  ,B1   ,201809160928,44,1001001009
SF  ,B1   ,201809160929,55,1001001009
SF  ,B1   ,201809160930,56,1001001009
SF  ,B1   ,201809160931,110,1001001009
SF  ,B1   ,201809160932,96,1001001009
SF  ,B1   ,201809160933,52,1001001009
SF  ,B1   ,201809160934,80,1001001009
SF  ,B1   ,201809160935,82,1001001009
SF  ,B1   ,201809160936,82,1001001009
SF  ,B1   ,201809160937,58,1001001009
SF  ,B1   ,201809160938,108,1001001009
SF  ,B1   ,201809160939,87,1001001009
SF  ,B1   ,201809160940,73,1001001009
SF  ,B1   ,201809160941,56,1001001009
SF  ,B1   ,201809160942,96,1001001009
SF  ,B1   ,201809160943,76,1001001009
SF  ,B1   ,201809160944,32,1001001009
SF  ,B1   ,201809160945,40,1001001009
SF  ,B1   ,201809160946,67,1001001009
SF  ,B1   ,201809160947,55,1001001009
SF  ,B1   ,201809160948,88,1001001009
SF  ,B1   ,201809160949,72,1001001009
SF  ,B1   ,201809160950,86,1001001009
SF  ,B1   ,201809160951,56,1001001009
SF  ,B1   ,201809160952,73,1001001009
SF  ,B1   ,201809160953,82,1001001009
SF  ,B1   ,201809160954,43,1001001009
SF  ,B1   ,201809160955,41,1001001009
SF  ,B1   ,201809160956,56,1001001009
SF  ,B1   ,201809160957,92,1001001009
SF  ,B1   ,201809160958,46,1001001009
SF  ,B1   ,201809160959,49,1001001009
SF  ,B1   ,201809161000,93,1001001009
SF  ,B1   ,201809161001,107,1001001009
SF  ,B1   ,201809161002,45,1001001009
SF  ,B1   ,201809161003,113,1001001009
SF  ,B1   ,201809161004,79,1001001009
SF  ,B1   ,201809161005,66,1001001009
SF  ,B1   ,201809161006,111,1001001009
SF  ,B1   ,201809161007,154,1001001009
SF  ,B1   ,201809161008,65,1001001009
SF  ,B1   ,201809161009,149,1001001009
SF  ,B1   ,201809161010,98,1001001009
SF  ,B1   ,201809161011,104,1001001009
SF  ,B1   ,201809161012,110,1001001009
SF  ,B1   ,201809161013,95,1001001009
SF  ,B1   ,201809161014,101,1001001009
SF  ,B1   ,201809161015,103,1001001009
SF  ,B1   ,201809161016,137,1001001009
SF  ,B1   ,201809161017,64,1001001009
SF  ,B1   ,201809161018,122,1001001009
SF  ,B1   ,201809161019,105,1001001009
SF  ,B1   ,201809161020,116,1001001009
