YTS ,B1   ,201809160521,238,1001001009
YTS ,B1   ,201809160522,198,1001001009
YTS ,B1   ,201809160523,285,1001001009
YTS ,B1   ,201809160524,255,1001001009
YTS ,B1   ,201809160525,256,1001001009
YTS ,B1   ,201809160526,217,1001001009
YTS ,B1   ,201809160527,121,1001001009
YTS ,B1   ,201809160528,199,1001001009
YTS ,B1   ,201809160529,187,1001001009
YTS ,B1   ,201809160530,201,1001001009
YTS ,B1   ,201809160531,238,1001001009
YTS ,B1   ,201809160532,195,1001001009
YTS ,B1   ,201809160533,202,1001001009
YTS ,B1   ,201809160534,179,1001001009
YTS ,B1   ,201809160535,150,1001001009
YTS ,B1   ,201809160536,209,1001001009
YTS ,B1   ,201809160537,259,1001001009
YTS ,B1   ,201809160538,203,1001001009
YTS ,B1   ,201809160539,112,1001001009
YTS ,B1   ,201809160540,168,1001001009
YTS ,B1   ,201809160541,166,1001001009
YTS ,B1   ,201809160542,224,1001001009
YTS ,B1   ,201809160543,177,1001001009
YTS ,B1   ,201809160544,146,1001001009
YTS ,B1   ,201809160545,164,1001001009
YTS ,B1   ,201809160546,166,1001001009
YTS ,B1   ,201809160547,184,1001001009
YTS ,B1   ,201809160548,212,1001001009
YTS ,B1   ,201809160549,,
YTS ,B1   ,201809160550,224,1001001009
YTS ,B1   ,201809160551,235,1001001009
YTS ,B1   ,201809160552,225,1001001009
YTS ,B1   ,201809160553,254,1001001009
YTS ,B1   ,201809160554,222,1001001009
YTS ,B1   ,201809160555,,
YTS ,B1   ,201809160556,192,1001001009
YTS ,B1   ,201809160557,207,1001001009
YTS ,B1   ,201809160558,185,1001001009
YTS ,B1   ,201809160559,247,1001001009
YTS ,B1   ,201809160600,223,1001001009
YTS ,B1   ,201809160601,208,1001001009
YTS ,B1   ,201809160602,237,1001001009
YTS ,B1   ,201809160603,228,1001001009
YTS ,B1   ,201809160604,263,1001001009
YTS ,B1   ,201809160605,250,1001001009
YTS ,B1   ,201809160606,234,1001001009
YTS ,B1   ,201809160607,290,1001001009
YTS ,B1   ,201809160608,258,1001001009
YTS ,B1   ,201809160609,323,1001001009
YTS ,B1   ,201809160610,280,1001001009
YTS ,B1   ,201809160611,271,1001001009
YTS ,B1   ,201809160612,281,1001001009
YTS ,B1   ,201809160613,283,1001001009
YTS ,B1   ,201809160614,278,1001001009
YTS ,B1   ,201809160615,312,1001001009
YTS ,B1   ,201809160616,276,1001001009
YTS ,B1   ,201809160617,278,1001001009
YTS ,B1   ,201809160618,286,1001001009
YTS ,B1   ,201809160619,278,1001001009
YTS ,B1   ,201809160620,259,1001001009
YTS ,B1   ,201809160621,249,1001001009
YTS ,B1   ,201809160622,286,1001001009
YTS ,B1   ,201809160623,275,1001001009
YTS ,B1   ,201809160624,253,1001001009
YTS ,B1   ,201809160625,254,1001001009
YTS ,B1   ,201809160626,,
YTS ,B1   ,201809160627,290,1001001009
YTS ,B1   ,201809160628,285,1001001009
YTS ,B1   ,201809160629,327,1001001009
YTS ,B1   ,201809160630,286,1001001009
YTS ,B1   ,201809160631,313,1001001009
YTS ,B1   ,201809160632,300,1001001009
YTS ,B1   ,201809160633,280,1001001009
YTS ,B1   ,201809160634,305,1001001009
YTS ,B1   ,201809160635,,
YTS ,B1   ,201809160636,283,1001001009
YTS ,B1   ,201809160637,303,1001001009
YTS ,B1   ,201809160638,303,1001001009
YTS ,B1   ,201809160639,313,1001001009
YTS ,B1   ,201809160640,237,1001001009
YTS ,B1   ,201809160641,294,1001001009
YTS ,B1   ,201809160642,284,1001001009
YTS ,B1   ,201809160643,275,1001001009
YTS ,B1   ,201809160644,251,1001001009
YTS ,B1   ,201809160645,293,1001001009
YTS ,B1   ,201809160646,304,1001001009
YTS ,B1   ,201809160647,282,1001001009
YTS ,B1   ,201809160648,298,1001001009
YTS ,B1   ,201809160649,278,1001001009
YTS ,B1   ,201809160650,285,1001001009
YTS ,B1   ,201809160651,253,1001001009
YTS ,B1   ,201809160652,326,1001001009
