TKL ,J1   ,201809160726,247,1101001009
TKL ,J1   ,201809160727,247,1101001009
TKL ,J1   ,201809160728,246,1101001009
TKL ,J1   ,201809160729,247,1101001009
TKL ,J1   ,201809160730,248,1101001009
TKL ,J1   ,201809160731,248,1101001009
TKL ,J1   ,201809160732,248,1101001009
TKL ,J1   ,201809160733,247,1101001009
TKL ,J1   ,201809160734,247,1101001009
TKL ,J1   ,201809160735,246,1101001009
TKL ,J1   ,201809160736,246,1101001009
TKL ,J1   ,201809160737,247,1101001009
TKL ,J1   ,201809160738,247,1101001009
TKL ,J1   ,201809160739,247,1101001009
TKL ,J1   ,201809160740,247,1101001009
TKL ,J1   ,201809160741,246,1101001009
TKL ,J1   ,201809160742,246,1101001009
TKL ,J1   ,201809160743,246,1101001009
TKL ,J1   ,201809160744,246,1101001009
TKL ,J1   ,201809160745,246,1101001009
TKL ,J1   ,201809160746,245,1101001009
TKL ,J1   ,201809160747,245,1101001009
TKL ,J1   ,201809160748,245,1101001009
TKL ,J1   ,201809160749,245,1101001009
TKL ,J1   ,201809160750,245,1101001009
TKL ,J1   ,201809160751,245,1101001009
TKL ,J1   ,201809160752,245,1101001009
TKL ,J1   ,201809160753,246,1101001009
TKL ,J1   ,201809160754,247,1101001009
TKL ,J1   ,201809160755,248,1101001009
TKL ,J1   ,201809160756,247,1101001009
TKL ,J1   ,201809160757,248,1101001009
TKL ,J1   ,201809160758,249,1101001009
TKL ,J1   ,201809160759,248,1101001009
TKL ,J1   ,201809160800,247,1101001009
TKL ,J1   ,201809160801,247,1101001009
TKL ,J1   ,201809160802,247,1101001009
TKL ,J1   ,201809160803,247,1101001009
TKL ,J1   ,201809160804,247,1101001009
TKL ,J1   ,201809160805,247,1101001009
TKL ,J1   ,201809160806,247,1101001009
TKL ,J1   ,201809160807,247,1101001009
TKL ,J1   ,201809160808,247,1101001009
TKL ,J1   ,201809160809,248,1101001009
TKL ,J1   ,201809160810,248,1101001009
TKL ,J1   ,201809160811,247,1101001009
TKL ,J1   ,201809160812,246,1101001009
TKL ,J1   ,201809160813,246,1101001009
TKL ,J1   ,201809160814,247,1101001009
TKL ,J1   ,201809160815,248,1101001009
TKL ,J1   ,201809160816,248,1101001009
TKL ,J1   ,201809160817,248,1101001009
TKL ,J1   ,201809160818,248,1101001009
TKL ,J1   ,201809160819,247,1101001009
TKL ,J1   ,201809160820,247,1101001009
TKL ,J1   ,201809160821,247,1101001009
TKL ,J1   ,201809160822,250,1101001009
TKL ,J1   ,201809160823,251,1101001009
TKL ,J1   ,201809160824,251,1101001009
TKL ,J1   ,201809160825,250,1101001009
TKL ,J1   ,201809160826,251,1101001009
TKL ,J1   ,201809160827,251,1101001009
TKL ,J1   ,201809160828,250,1101001009
TKL ,J1   ,201809160829,251,1101001009
TKL ,J1   ,201809160830,251,1101001009
TKL ,J1   ,201809160831,251,1101001009
TKL ,J1   ,201809160832,250,1101001009
TKL ,J1   ,201809160833,250,1101001009
TKL ,J1   ,201809160834,251,1101001009
TKL ,J1   ,201809160835,251,1101001009
TKL ,J1   ,201809160836,250,1101001009
TKL ,J1   ,201809160837,251,1101001009
TKL ,J1   ,201809160838,250,1101001009
TKL ,J1   ,201809160839,251,1101001009
TKL ,J1   ,201809160840,251,1101001009
TKL ,J1   ,201809160841,252,1101001009
TKL ,J1   ,201809160842,254,1101001009
TKL ,J1   ,201809160843,253,1101001009
TKL ,J1   ,201809160844,252,1101001009
TKL ,J1   ,201809160845,251,1101001009
TKL ,J1   ,201809160846,250,1101001009
TKL ,J1   ,201809160847,250,1101001009
TKL ,J1   ,201809160848,250,1101001009
TKL ,J1   ,201809160849,250,1101001009
TKL ,J1   ,201809160850,249,1101001009
TKL ,J1   ,201809160851,249,1101001009
TKL ,J1   ,201809160852,249,1101001009
TKL ,J1   ,201809160853,249,1101001009
TKL ,J1   ,201809160854,249,1101001009
TKL ,J1   ,201809160855,249,1101001009
TKL ,J1   ,201809160856,249,1101001009
TKL ,J1   ,201809160857,249,1101001009
TKL ,J1   ,201809160858,248,1101001009
TKL ,J1   ,201809160859,248,1101001009
TKL ,J1   ,201809160900,248,1101001009
TKL ,J1   ,201809160901,248,1101001009
TKL ,J1   ,201809160902,248,1101001009
TKL ,J1   ,201809160903,248,1101001009
TKL ,J1   ,201809160904,248,1101001009
TKL ,J1   ,201809160905,249,1101001009
TKL ,J1   ,201809160906,249,1101001009
TKL ,J1   ,201809160907,249,1101001009
TKL ,J1   ,201809160908,248,1101001009
TKL ,J1   ,201809160909,248,1101001009
TKL ,J1   ,201809160910,249,1101001009
TKL ,J1   ,201809160911,249,1101001009
TKL ,J1   ,201809160912,250,1101001009
TKL ,J1   ,201809160913,251,1101001009
TKL ,J1   ,201809160914,252,1101001009
TKL ,J1   ,201809160915,251,1101001009
TKL ,J1   ,201809160916,250,1101001009
TKL ,J1   ,201809160917,250,1101001009
TKL ,J1   ,201809160918,250,1101001009
TKL ,J1   ,201809160919,252,1101001009
TKL ,J1   ,201809160920,252,1101001009
TKL ,J1   ,201809160921,252,1101001009
TKL ,J1   ,201809160922,251,1101001009
TKL ,J1   ,201809160923,251,1101001009
TKL ,J1   ,201809160924,252,1101001009
TKL ,J1   ,201809160925,255,1101001009
TKL ,J1   ,201809160926,257,1101001009
TKL ,J1   ,201809160927,259,1101001009
TKL ,J1   ,201809160928,262,1101001009
TKL ,J1   ,201809160929,259,1101001009
TKL ,J1   ,201809160930,257,1101001009
TKL ,J1   ,201809160931,254,1101001009
TKL ,J1   ,201809160932,253,1101001009
TKL ,J1   ,201809160933,253,1101001009
TKL ,J1   ,201809160934,252,1101001009
TKL ,J1   ,201809160935,252,1101001009
TKL ,J1   ,201809160936,252,1101001009
TKL ,J1   ,201809160937,251,1101001009
TKL ,J1   ,201809160938,251,1101001009
TKL ,J1   ,201809160939,252,1101001009
TKL ,J1   ,201809160940,253,1101001009
TKL ,J1   ,201809160941,252,1101001009
TKL ,J1   ,201809160942,251,1101001009
TKL ,J1   ,201809160943,250,1101001009
TKL ,J1   ,201809160944,251,1101001009
TKL ,J1   ,201809160945,252,1101001009
TKL ,J1   ,201809160946,251,1101001009
TKL ,J1   ,201809160947,250,1101001009
TKL ,J1   ,201809160948,250,1101001009
TKL ,J1   ,201809160949,250,1101001009
TKL ,J1   ,201809160950,249,1101001009
TKL ,J1   ,201809160951,249,1101001009
TKL ,J1   ,201809160952,250,1101001009
TKL ,J1   ,201809160953,250,1101001009
TKL ,J1   ,201809160954,250,1101001009
TKL ,J1   ,201809160955,251,1101001009
TKL ,J1   ,201809160956,254,1101001009
TKL ,J1   ,201809160957,255,1101001009
TKL ,J1   ,201809160958,255,1101001009
TKL ,J1   ,201809160959,254,1101001009
TKL ,J1   ,201809161000,258,1101001009
TKL ,J1   ,201809161001,260,1101001009
TKL ,J1   ,201809161002,258,1101001009
TKL ,J1   ,201809161003,257,1101001009
TKL ,J1   ,201809161004,257,1101001009
TKL ,J1   ,201809161005,257,1101001009
TKL ,J1   ,201809161006,257,1101001009
TKL ,J1   ,201809161007,256,1101001009
TKL ,J1   ,201809161008,257,1101001009
TKL ,J1   ,201809161009,258,1101001009
TKL ,J1   ,201809161010,259,1101001009
TKL ,J1   ,201809161011,260,1101001009
TKL ,J1   ,201809161012,260,1101001009
TKL ,J1   ,201809161013,260,1101001009
TKL ,J1   ,201809161014,260,1101001009
TKL ,J1   ,201809161015,260,1101001009
TKL ,J1   ,201809161016,262,1101001009
TKL ,J1   ,201809161017,261,1101001009
TKL ,J1   ,201809161018,260,1101001009
TKL ,J1   ,201809161019,258,1101001009
TKL ,J1   ,201809161020,256,1101001009
TKL ,J1   ,201809161021,256,1101001009
TKL ,J1   ,201809161022,257,1101001009
TKL ,J1   ,201809161023,256,1101001009
TKL ,J1   ,201809161024,254,1101001009
TKL ,J1   ,201809161025,254,1101001009
TKL ,J1   ,201809161026,252,1101001009
TKL ,J1   ,201809161027,252,1101001009
TKL ,J1   ,201809161028,245,1101001009
TKL ,J1   ,201809161029,243,1101001009
TKL ,J1   ,201809161030,243,1101001009
TKL ,J1   ,201809161031,242,1101001009
TKL ,J1   ,201809161032,242,1101001009
TKL ,J1   ,201809161033,242,1101001009
TKL ,J1   ,201809161034,242,1101001009
