SHL ,B1   ,201809160552,31,1001001009
SHL ,B1   ,201809160553,50,1001001009
SHL ,B1   ,201809160554,38,1001001009
SHL ,B1   ,201809160555,22,1001001009
SHL ,B1   ,201809160556,29,1001001009
SHL ,B1   ,201809160557,53,1001001009
SHL ,B1   ,201809160558,32,1001001009
SHL ,B1   ,201809160559,46,1001001009
SHL ,B1   ,201809160600,51,1001001009
SHL ,B1   ,201809160601,57,1001001009
SHL ,B1   ,201809160602,45,1001001009
SHL ,B1   ,201809160603,43,1001001009
SHL ,B1   ,201809160604,50,1001001009
SHL ,B1   ,201809160605,50,1001001009
SHL ,B1   ,201809160606,65,1001001009
SHL ,B1   ,201809160607,48,1001001009
SHL ,B1   ,201809160608,47,1001001009
SHL ,B1   ,201809160609,64,1001001009
SHL ,B1   ,201809160610,58,1001001009
SHL ,B1   ,201809160611,62,1001001009
SHL ,B1   ,201809160612,48,1001001009
SHL ,B1   ,201809160613,41,1001001009
SHL ,B1   ,201809160614,42,1001001009
SHL ,B1   ,201809160615,56,1001001009
SHL ,B1   ,201809160616,28,1001001009
SHL ,B1   ,201809160617,36,1001001009
SHL ,B1   ,201809160618,34,1001001009
SHL ,B1   ,201809160619,41,1001001009
SHL ,B1   ,201809160620,52,1001001009
SHL ,B1   ,201809160621,66,1001001009
SHL ,B1   ,201809160622,81,1001001009
SHL ,B1   ,201809160623,90,1001001009
SHL ,B1   ,201809160624,100,1001001009
SHL ,B1   ,201809160625,103,1001001009
SHL ,B1   ,201809160626,87,1001001009
SHL ,B1   ,201809160627,92,1001001009
SHL ,B1   ,201809160628,70,1001001009
SHL ,B1   ,201809160629,85,1001001009
SHL ,B1   ,201809160630,76,1001001009
SHL ,B1   ,201809160631,65,1001001009
SHL ,B1   ,201809160632,44,1001001009
SHL ,B1   ,201809160633,87,1001001009
SHL ,B1   ,201809160634,78,1001001009
SHL ,B1   ,201809160635,80,1001001009
SHL ,B1   ,201809160636,86,1001001009
SHL ,B1   ,201809160637,70,1001001009
SHL ,B1   ,201809160638,46,1001001009
SHL ,B1   ,201809160639,62,1001001009
SHL ,B1   ,201809160640,83,1001001009
SHL ,B1   ,201809160641,74,1001001009
SHL ,B1   ,201809160642,64,1001001009
SHL ,B1   ,201809160643,73,1001001009
SHL ,B1   ,201809160644,52,1001001009
SHL ,B1   ,201809160645,45,1001001009
SHL ,B1   ,201809160646,89,1001001009
SHL ,B1   ,201809160647,67,1001001009
SHL ,B1   ,201809160648,71,1001001009
