WGL ,B1   ,201809160733,199,1001001009
WGL ,B1   ,201809160734,189,1001001009
WGL ,B1   ,201809160735,227,1001001009
WGL ,B1   ,201809160736,241,1001001009
WGL ,B1   ,201809160737,243,1001001009
WGL ,B1   ,201809160738,236,1001001009
WGL ,B1   ,201809160739,243,1001001009
WGL ,B1   ,201809160740,234,1001001009
WGL ,B1   ,201809160741,239,1001001009
WGL ,B1   ,201809160742,241,1001001009
WGL ,B1   ,201809160743,214,1001001009
WGL ,B1   ,201809160744,232,1001001009
WGL ,B1   ,201809160745,236,1001001009
WGL ,B1   ,201809160746,236,1001001009
WGL ,B1   ,201809160747,230,1001001009
WGL ,B1   ,201809160748,233,1001001009
WGL ,B1   ,201809160749,252,1001001009
WGL ,B1   ,201809160750,240,1001001009
WGL ,B1   ,201809160751,261,1001001009
WGL ,B1   ,201809160752,289,1001001009
WGL ,B1   ,201809160753,266,1001001009
WGL ,B1   ,201809160754,266,1001001009
WGL ,B1   ,201809160755,276,1001001009
WGL ,B1   ,201809160756,248,1001001009
WGL ,B1   ,201809160757,288,1001001009
WGL ,B1   ,201809160758,286,1001001009
WGL ,B1   ,201809160759,268,1001001009
WGL ,B1   ,201809160800,315,1001001009
WGL ,B1   ,201809160801,288,1001001009
WGL ,B1   ,201809160802,326,1001001009
WGL ,B1   ,201809160803,308,1001001009
WGL ,B1   ,201809160804,327,1001001009
WGL ,B1   ,201809160805,288,1001001009
WGL ,B1   ,201809160806,301,1001001009
WGL ,B1   ,201809160807,301,1001001009
WGL ,B1   ,201809160808,303,1001001009
WGL ,B1   ,201809160809,302,1001001009
WGL ,B1   ,201809160810,309,1001001009
WGL ,B1   ,201809160811,316,1001001009
WGL ,B1   ,201809160812,287,1001001009
WGL ,B1   ,201809160813,292,1001001009
WGL ,B1   ,201809160814,316,1001001009
WGL ,B1   ,201809160815,302,1001001009
WGL ,B1   ,201809160816,317,1001001009
WGL ,B1   ,201809160817,321,1001001009
WGL ,B1   ,201809160818,338,1001001009
WGL ,B1   ,201809160819,320,1001001009
WGL ,B1   ,201809160820,321,1001001009
WGL ,B1   ,201809160821,294,1001001009
WGL ,B1   ,201809160822,322,1001001009
WGL ,B1   ,201809160823,308,1001001009
WGL ,B1   ,201809160824,321,1001001009
WGL ,B1   ,201809160825,367,1001001009
WGL ,B1   ,201809160826,358,1001001009
WGL ,B1   ,201809160827,356,1001001009
WGL ,B1   ,201809160828,371,1001001009
WGL ,B1   ,201809160829,340,1001001009
WGL ,B1   ,201809160830,356,1001001009
WGL ,B1   ,201809160831,323,1001001009
WGL ,B1   ,201809160832,326,1001001009
WGL ,B1   ,201809160833,338,1001001009
WGL ,B1   ,201809160834,346,1001001009
WGL ,B1   ,201809160835,340,1001001009
WGL ,B1   ,201809160836,346,1001001009
WGL ,B1   ,201809160837,381,1001001009
WGL ,B1   ,201809160838,353,1001001009
WGL ,B1   ,201809160839,340,1001001009
WGL ,B1   ,201809160840,345,1001001009
WGL ,B1   ,201809160841,325,1001001009
WGL ,B1   ,201809160842,328,1001001009
WGL ,B1   ,201809160843,334,1001001009
WGL ,B1   ,201809160844,346,1001001009
WGL ,B1   ,201809160845,340,1001001009
WGL ,B1   ,201809160846,326,1001001009
WGL ,B1   ,201809160847,318,1001001009
WGL ,B1   ,201809160848,374,1001001009
WGL ,B1   ,201809160849,349,1001001009
WGL ,B1   ,201809160850,377,1001001009
WGL ,B1   ,201809160851,347,1001001009
WGL ,B1   ,201809160852,372,1001001009
WGL ,B1   ,201809160853,340,1001001009
WGL ,B1   ,201809160854,386,1001001009
WGL ,B1   ,201809160855,340,1001001009
WGL ,B1   ,201809160856,334,1001001009
WGL ,B1   ,201809160857,323,1001001009
WGL ,B1   ,201809160858,362,1001001009
WGL ,B1   ,201809160859,378,1001001009
WGL ,B1   ,201809160900,355,1001001009
WGL ,B1   ,201809160901,347,1001001009
WGL ,B1   ,201809160902,340,1001001009
WGL ,B1   ,201809160903,376,1001001009
WGL ,B1   ,201809160904,378,1001001009
WGL ,B1   ,201809160905,366,1001001009
WGL ,B1   ,201809160906,393,1001001009
WGL ,B1   ,201809160907,379,1001001009
WGL ,B1   ,201809160908,388,1001001009
WGL ,B1   ,201809160909,389,1001001009
WGL ,B1   ,201809160910,364,1001001009
WGL ,B1   ,201809160911,331,1001001009
WGL ,B1   ,201809160912,343,1001001009
WGL ,B1   ,201809160913,352,1001001009
WGL ,B1   ,201809160914,322,1001001009
WGL ,B1   ,201809160915,405,1001001009
WGL ,B1   ,201809160916,375,1001001009
WGL ,B1   ,201809160917,363,1001001009
WGL ,B1   ,201809160918,354,1001001009
WGL ,B1   ,201809160919,413,1001001009
WGL ,B1   ,201809160920,393,1001001009
WGL ,B1   ,201809160921,405,1001001009
WGL ,B1   ,201809160922,335,1001001009
WGL ,B1   ,201809160923,399,1001001009
WGL ,B1   ,201809160924,392,1001001009
WGL ,B1   ,201809160925,412,1001001009
WGL ,B1   ,201809160926,377,1001001009
WGL ,B1   ,201809160927,386,1001001009
WGL ,B1   ,201809160928,391,1001001009
WGL ,B1   ,201809160929,348,1001001009
WGL ,B1   ,201809160930,379,1001001009
WGL ,B1   ,201809160931,369,1001001009
WGL ,B1   ,201809160932,341,1001001009
WGL ,B1   ,201809160933,354,1001001009
WGL ,B1   ,201809160934,355,1001001009
WGL ,B1   ,201809160935,359,1001001009
WGL ,B1   ,201809160936,380,1001001009
WGL ,B1   ,201809160937,357,1001001009
WGL ,B1   ,201809160938,376,1001001009
WGL ,B1   ,201809160939,371,1001001009
WGL ,B1   ,201809160940,376,1001001009
WGL ,B1   ,201809160941,363,1001001009
WGL ,B1   ,201809160942,409,1001001009
WGL ,B1   ,201809160943,362,1001001009
WGL ,B1   ,201809160944,392,1001001009
WGL ,B1   ,201809160945,344,1001001009
WGL ,B1   ,201809160946,392,1001001009
WGL ,B1   ,201809160947,397,1001001009
WGL ,B1   ,201809160948,420,1001001009
WGL ,B1   ,201809160949,376,1001001009
WGL ,B1   ,201809160950,367,1001001009
WGL ,B1   ,201809160951,341,1001001009
WGL ,B1   ,201809160952,386,1001001009
WGL ,B1   ,201809160953,391,1001001009
WGL ,B1   ,201809160954,403,1001001009
WGL ,B1   ,201809160955,401,1001001009
WGL ,B1   ,201809160956,385,1001001009
WGL ,B1   ,201809160957,451,1001001009
WGL ,B1   ,201809160958,471,1001001009
WGL ,B1   ,201809160959,425,1001001009
WGL ,B1   ,201809161000,395,1001001009
WGL ,B1   ,201809161001,410,1001001009
WGL ,B1   ,201809161002,364,1001001009
WGL ,B1   ,201809161003,382,1001001009
WGL ,B1   ,201809161004,,
WGL ,B1   ,201809161005,,
WGL ,B1   ,201809161006,,
WGL ,B1   ,201809161007,370,1001001009
WGL ,B1   ,201809161008,406,1001001009
WGL ,B1   ,201809161009,428,1001001009
WGL ,B1   ,201809161010,449,1001001009
WGL ,B1   ,201809161011,507,1001001009
WGL ,B1   ,201809161012,422,1001001009
WGL ,B1   ,201809161013,510,1001001009
WGL ,B1   ,201809161014,463,1001001009
WGL ,B1   ,201809161015,495,1001001009
WGL ,B1   ,201809161016,445,1001001009
WGL ,B1   ,201809161017,480,1001001009
WGL ,B1   ,201809161018,,
WGL ,B1   ,201809161019,,
WGL ,B1   ,201809161020,,
WGL ,B1   ,201809161021,500,1001001009
WGL ,B1   ,201809161022,484,1001001009
WGL ,B1   ,201809161023,501,1001001009
WGL ,B1   ,201809161024,456,1001001009
WGL ,B1   ,201809161025,,
WGL ,B1   ,201809161026,,
WGL ,B1   ,201809161027,457,1001001009
WGL ,B1   ,201809161028,446,1001001009
WGL ,B1   ,201809161029,459,1001001009
WGL ,B1   ,201809161030,471,1001001009
WGL ,B1   ,201809161031,,
WGL ,B1   ,201809161032,,
WGL ,B1   ,201809161033,,
WGL ,B1   ,201809161034,475,1001001009
WGL ,B1   ,201809161035,406,1001001009
WGL ,B1   ,201809161036,,
WGL ,B1   ,201809161037,444,1001001009
WGL ,B1   ,201809161038,377,1001001009
