SLW ,B1   ,201809160528,85,1001001009
SLW ,B1   ,201809160529,87,1001001009
SLW ,B1   ,201809160530,96,1001001009
SLW ,B1   ,201809160531,88,1001001009
SLW ,B1   ,201809160532,90,1001001009
SLW ,B1   ,201809160533,94,1001001009
SLW ,B1   ,201809160534,79,1001001009
SLW ,B1   ,201809160535,107,1001001009
SLW ,B1   ,201809160536,87,1001001009
SLW ,B1   ,201809160537,83,1001001009
SLW ,B1   ,201809160538,75,1001001009
SLW ,B1   ,201809160539,74,1001001009
SLW ,B1   ,201809160540,79,1001001009
SLW ,B1   ,201809160541,68,1001001009
SLW ,B1   ,201809160542,86,1001001009
SLW ,B1   ,201809160543,99,1001001009
SLW ,B1   ,201809160544,77,1001001009
SLW ,B1   ,201809160545,75,1001001009
SLW ,B1   ,201809160546,73,1001001009
SLW ,B1   ,201809160547,62,1001001009
SLW ,B1   ,201809160548,63,1001001009
SLW ,B1   ,201809160549,72,1001001009
SLW ,B1   ,201809160550,67,1001001009
SLW ,B1   ,201809160551,81,1001001009
SLW ,B1   ,201809160552,86,1001001009
SLW ,B1   ,201809160553,101,1001001009
SLW ,B1   ,201809160554,71,1001001009
SLW ,B1   ,201809160555,77,1001001009
SLW ,B1   ,201809160556,102,1001001009
SLW ,B1   ,201809160557,100,1001001009
SLW ,B1   ,201809160558,88,1001001009
SLW ,B1   ,201809160559,75,1001001009
SLW ,B1   ,201809160600,77,1001001009
SLW ,B1   ,201809160601,85,1001001009
SLW ,B1   ,201809160602,82,1001001009
SLW ,B1   ,201809160603,79,1001001009
SLW ,B1   ,201809160604,62,1001001009
SLW ,B1   ,201809160605,66,1001001009
SLW ,B1   ,201809160606,77,1001001009
SLW ,B1   ,201809160607,75,1001001009
SLW ,B1   ,201809160608,55,1001001009
SLW ,B1   ,201809160609,56,1001001009
SLW ,B1   ,201809160610,86,1001001009
SLW ,B1   ,201809160611,88,1001001009
SLW ,B1   ,201809160612,94,1001001009
SLW ,B1   ,201809160613,81,1001001009
SLW ,B1   ,201809160614,99,1001001009
SLW ,B1   ,201809160615,94,1001001009
SLW ,B1   ,201809160616,75,1001001009
SLW ,B1   ,201809160617,85,1001001009
SLW ,B1   ,201809160618,62,1001001009
SLW ,B1   ,201809160619,59,1001001009
SLW ,B1   ,201809160620,73,1001001009
SLW ,B1   ,201809160621,63,1001001009
SLW ,B1   ,201809160622,77,1001001009
SLW ,B1   ,201809160623,73,1001001009
SLW ,B1   ,201809160624,78,1001001009
SLW ,B1   ,201809160625,101,1001001009
SLW ,B1   ,201809160626,93,1001001009
SLW ,B1   ,201809160627,115,1001001009
SLW ,B1   ,201809160628,96,1001001009
SLW ,B1   ,201809160629,97,1001001009
SLW ,B1   ,201809160630,86,1001001009
SLW ,B1   ,201809160631,82,1001001009
SLW ,B1   ,201809160632,97,1001001009
SLW ,B1   ,201809160633,89,1001001009
SLW ,B1   ,201809160634,78,1001001009
SLW ,B1   ,201809160635,71,1001001009
SLW ,B1   ,201809160636,61,1001001009
SLW ,B1   ,201809160637,53,1001001009
SLW ,B1   ,201809160638,69,1001001009
SLW ,B1   ,201809160639,66,1001001009
SLW ,B1   ,201809160640,71,1001001009
SLW ,B1   ,201809160641,70,1001001009
SLW ,B1   ,201809160642,64,1001001009
SLW ,B1   ,201809160643,87,1001001009
SLW ,B1   ,201809160644,79,1001001009
SLW ,B1   ,201809160645,89,1001001009
SLW ,B1   ,201809160646,102,1001001009
SLW ,B1   ,201809160647,99,1001001009
SLW ,B1   ,201809160648,97,1001001009
SLW ,B1   ,201809160649,88,1001001009
SLW ,B1   ,201809160650,71,1001001009
SLW ,B1   ,201809160651,88,1001001009
SLW ,B1   ,201809160652,99,1001001009
SLW ,B1   ,201809160653,84,1001001009
SLW ,B1   ,201809160654,90,1001001009
SLW ,B1   ,201809160655,93,1001001009
SLW ,B1   ,201809160656,100,1001001009
SLW ,B1   ,201809160657,81,1001001009
SLW ,B1   ,201809160658,96,1001001009
SLW ,B1   ,201809160659,86,1001001009
SLW ,B1   ,201809160700,87,1001001009
SLW ,B1   ,201809160701,78,1001001009
SLW ,B1   ,201809160702,81,1001001009
SLW ,B1   ,201809160703,87,1001001009
SLW ,B1   ,201809160704,79,1001001009
SLW ,B1   ,201809160705,88,1001001009
SLW ,B1   ,201809160706,111,1001001009
SLW ,B1   ,201809160707,89,1001001009
SLW ,B1   ,201809160708,88,1001001009
SLW ,B1   ,201809160709,101,1001001009
SLW ,B1   ,201809160710,79,1001001009
SLW ,B1   ,201809160711,86,1001001009
SLW ,B1   ,201809160712,92,1001001009
SLW ,B1   ,201809160713,75,1001001009
SLW ,B1   ,201809160714,84,1001001009
SLW ,B1   ,201809160715,81,1001001009
SLW ,B1   ,201809160716,82,1001001009
SLW ,B1   ,201809160717,71,1001001009
SLW ,B1   ,201809160718,68,1001001009
SLW ,B1   ,201809160719,78,1001001009
SLW ,B1   ,201809160720,74,1001001009
SLW ,B1   ,201809160721,94,1001001009
SLW ,B1   ,201809160722,85,1001001009
SLW ,B1   ,201809160723,86,1001001009
SLW ,B1   ,201809160724,92,1001001009
SLW ,B1   ,201809160725,86,1001001009
SLW ,B1   ,201809160726,92,1001001009
SLW ,B1   ,201809160727,93,1001001009
SLW ,B1   ,201809160728,74,1001001009
SLW ,B1   ,201809160729,68,1001001009
SLW ,B1   ,201809160730,64,1001001009
SLW ,B1   ,201809160731,76,1001001009
SLW ,B1   ,201809160732,77,1001001009
SLW ,B1   ,201809160733,94,1001001009
SLW ,B1   ,201809160734,67,1001001009
SLW ,B1   ,201809160735,62,1001001009
SLW ,B1   ,201809160736,95,1001001009
SLW ,B1   ,201809160737,88,1001001009
SLW ,B1   ,201809160738,72,1001001009
SLW ,B1   ,201809160739,66,1001001009
SLW ,B1   ,201809160740,73,1001001009
SLW ,B1   ,201809160741,73,1001001009
SLW ,B1   ,201809160742,82,1001001009
SLW ,B1   ,201809160743,85,1001001009
SLW ,B1   ,201809160744,83,1001001009
SLW ,B1   ,201809160745,84,1001001009
SLW ,B1   ,201809160746,86,1001001009
SLW ,B1   ,201809160747,87,1001001009
SLW ,B1   ,201809160748,95,1001001009
SLW ,B1   ,201809160749,100,1001001009
SLW ,B1   ,201809160750,96,1001001009
SLW ,B1   ,201809160751,89,1001001009
SLW ,B1   ,201809160752,90,1001001009
SLW ,B1   ,201809160753,96,1001001009
SLW ,B1   ,201809160754,94,1001001009
SLW ,B1   ,201809160755,84,1001001009
SLW ,B1   ,201809160756,69,1001001009
SLW ,B1   ,201809160757,78,1001001009
SLW ,B1   ,201809160758,90,1001001009
SLW ,B1   ,201809160759,88,1001001009
SLW ,B1   ,201809160800,96,1001001009
SLW ,B1   ,201809160801,90,1001001009
SLW ,B1   ,201809160802,73,1001001009
SLW ,B1   ,201809160803,82,1001001009
SLW ,B1   ,201809160804,87,1001001009
SLW ,B1   ,201809160805,83,1001001009
SLW ,B1   ,201809160806,80,1001001009
SLW ,B1   ,201809160807,93,1001001009
SLW ,B1   ,201809160808,88,1001001009
SLW ,B1   ,201809160809,95,1001001009
SLW ,B1   ,201809160810,92,1001001009
SLW ,B1   ,201809160811,100,1001001009
SLW ,B1   ,201809160812,115,1001001009
SLW ,B1   ,201809160813,90,1001001009
SLW ,B1   ,201809160814,101,1001001009
SLW ,B1   ,201809160815,74,1001001009
SLW ,B1   ,201809160816,92,1001001009
SLW ,B1   ,201809160817,80,1001001009
SLW ,B1   ,201809160818,86,1001001009
SLW ,B1   ,201809160819,87,1001001009
SLW ,B1   ,201809160820,101,1001001009
SLW ,B1   ,201809160821,82,1001001009
SLW ,B1   ,201809160822,78,1001001009
SLW ,B1   ,201809160823,79,1001001009
SLW ,B1   ,201809160824,86,1001001009
SLW ,B1   ,201809160825,96,1001001009
SLW ,B1   ,201809160826,71,1001001009
SLW ,B1   ,201809160827,81,1001001009
SLW ,B1   ,201809160828,85,1001001009
SLW ,B1   ,201809160829,102,1001001009
SLW ,B1   ,201809160830,83,1001001009
