TPK ,B1   ,201809160654,94,1001001009
TPK ,B1   ,201809160655,106,1001001009
TPK ,B1   ,201809160656,119,1001001009
TPK ,B1   ,201809160657,111,1001001009
TPK ,B1   ,201809160658,92,1001001009
TPK ,B1   ,201809160659,108,1001001009
TPK ,B1   ,201809160700,86,1001001009
TPK ,B1   ,201809160701,103,1001001009
TPK ,B1   ,201809160702,98,1001001009
TPK ,B1   ,201809160703,70,1001001009
TPK ,B1   ,201809160704,79,1001001009
TPK ,B1   ,201809160705,84,1001001009
TPK ,B1   ,201809160706,83,1001001009
TPK ,B1   ,201809160707,102,1001001009
TPK ,B1   ,201809160708,78,1001001009
TPK ,B1   ,201809160709,61,1001001009
TPK ,B1   ,201809160710,109,1001001009
TPK ,B1   ,201809160711,73,1001001009
TPK ,B1   ,201809160712,87,1001001009
TPK ,B1   ,201809160713,97,1001001009
TPK ,B1   ,201809160714,102,1001001009
TPK ,B1   ,201809160715,76,1001001009
TPK ,B1   ,201809160716,68,1001001009
TPK ,B1   ,201809160717,89,1001001009
TPK ,B1   ,201809160718,80,1001001009
TPK ,B1   ,201809160719,66,1001001009
TPK ,B1   ,201809160720,68,1001001009
TPK ,B1   ,201809160721,108,1001001009
TPK ,B1   ,201809160722,95,1001001009
TPK ,B1   ,201809160723,111,1001001009
TPK ,B1   ,201809160724,86,1001001009
TPK ,B1   ,201809160725,76,1001001009
TPK ,B1   ,201809160726,124,1001001009
TPK ,B1   ,201809160727,68,1001001009
TPK ,B1   ,201809160728,63,1001001009
TPK ,B1   ,201809160729,68,1001001009
TPK ,B1   ,201809160730,74,1001001009
TPK ,B1   ,201809160731,76,1001001009
TPK ,B1   ,201809160732,133,1001001009
TPK ,B1   ,201809160733,75,1001001009
TPK ,B1   ,201809160734,78,1001001009
TPK ,B1   ,201809160735,67,1001001009
TPK ,B1   ,201809160736,70,1001001009
TPK ,B1   ,201809160737,82,1001001009
TPK ,B1   ,201809160738,106,1001001009
TPK ,B1   ,201809160739,101,1001001009
TPK ,B1   ,201809160740,81,1001001009
TPK ,B1   ,201809160741,65,1001001009
TPK ,B1   ,201809160742,47,1001001009
TPK ,B1   ,201809160743,75,1001001009
TPK ,B1   ,201809160744,81,1001001009
TPK ,B1   ,201809160745,83,1001001009
TPK ,B1   ,201809160746,121,1001001009
TPK ,B1   ,201809160747,105,1001001009
TPK ,B1   ,201809160748,77,1001001009
TPK ,B1   ,201809160749,58,1001001009
TPK ,B1   ,201809160750,72,1001001009
TPK ,B1   ,201809160751,70,1001001009
TPK ,B1   ,201809160752,108,1001001009
